step,x_position,y_position,drivingMode,gameMode,frame,current_checkpoint,surface,reward,total_reward
22,"[3712, 3712, 3712, 3712, 3712, 3712, 3712, 3712]","[2288, 2288, 2288, 2288, 2288, 2288, 2288, 2288]","[4, 4, 4, 4, 4, 4, 4, 4]","[28, 28, 28, 28, 28, 28, 28, 28]","[222, 222, 222, 222, 222, 222, 222, 222]","[29, 29, 29, 29, 29, 29, 29, 29]","[64, 64, 64, 64, 64, 64, 64, 64]",[0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0.]
23,"[3712, 3712, 3712, 3712, 3712, 3712, 3712, 3712]","[2288, 2288, 2288, 2288, 2288, 2288, 2288, 2288]","[4, 4, 4, 4, 4, 4, 4, 4]","[28, 28, 28, 28, 28, 28, 28, 28]","[226, 226, 226, 226, 226, 226, 226, 226]","[29, 29, 29, 29, 29, 29, 29, 29]","[64, 64, 64, 64, 64, 64, 64, 64]",[0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0.]
24,"[3712, 3712, 3712, 3712, 3712, 3712, 3712, 3712]","[2288, 2288, 2288, 2288, 2288, 2288, 2288, 2288]","[4, 4, 4, 4, 4, 4, 4, 4]","[28, 28, 28, 28, 28, 28, 28, 28]","[230, 230, 230, 230, 230, 230, 230, 230]","[29, 29, 29, 29, 29, 29, 29, 29]","[64, 64, 64, 64, 64, 64, 64, 64]",[0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0.]
25,"[3712, 3712, 3712, 3712, 3712, 3712, 3712, 3712]","[2288, 2288, 2288, 2288, 2288, 2288, 2288, 2288]","[4, 4, 4, 4, 4, 4, 4, 4]","[28, 28, 28, 28, 28, 28, 28, 28]","[234, 234, 234, 234, 234, 234, 234, 234]","[29, 29, 29, 29, 29, 29, 29, 29]","[64, 64, 64, 64, 64, 64, 64, 64]",[0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0.]
26,"[3712, 3712, 3712, 3712, 3712, 3712, 3712, 3712]","[2288, 2288, 2288, 2288, 2288, 2288, 2288, 2288]","[4, 4, 4, 4, 4, 4, 4, 4]","[28, 28, 28, 28, 28, 28, 28, 28]","[238, 238, 238, 238, 238, 238, 238, 238]","[29, 29, 29, 29, 29, 29, 29, 29]","[64, 64, 64, 64, 64, 64, 64, 64]",[0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0.]
27,"[3712, 3712, 3712, 3712, 3712, 3712, 3712, 3712]","[2288, 2288, 2288, 2288, 2288, 2288, 2288, 2288]","[4, 4, 4, 4, 4, 4, 4, 4]","[28, 28, 28, 28, 28, 28, 28, 28]","[242, 242, 242, 242, 242, 242, 242, 242]","[29, 29, 29, 29, 29, 29, 29, 29]","[64, 64, 64, 64, 64, 64, 64, 64]",[0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0.]
28,"[3712, 3712, 3712, 3712, 3712, 3712, 3712, 3712]","[2288, 2288, 2288, 2288, 2288, 2288, 2288, 2288]","[4, 4, 4, 4, 4, 4, 4, 4]","[28, 28, 28, 28, 28, 28, 28, 28]","[246, 246, 246, 246, 246, 246, 246, 246]","[29, 29, 29, 29, 29, 29, 29, 29]","[64, 64, 64, 64, 64, 64, 64, 64]",[0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0.]
29,"[3712, 3712, 3712, 3712, 3712, 3712, 3712, 3712]","[2288, 2288, 2288, 2288, 2288, 2288, 2288, 2288]","[4, 4, 4, 4, 4, 4, 4, 4]","[28, 28, 28, 28, 28, 28, 28, 28]","[250, 250, 250, 250, 250, 250, 250, 250]","[29, 29, 29, 29, 29, 29, 29, 29]","[64, 64, 64, 64, 64, 64, 64, 64]",[0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0.]
30,"[3712, 3712, 3712, 3712, 3712, 3712, 3712, 3712]","[2288, 2288, 2288, 2288, 2288, 2288, 2288, 2288]","[4, 4, 4, 4, 4, 4, 4, 4]","[28, 28, 28, 28, 28, 28, 28, 28]","[254, 254, 254, 254, 254, 254, 254, 254]","[29, 29, 29, 29, 29, 29, 29, 29]","[64, 64, 64, 64, 64, 64, 64, 64]",[0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0.]
31,"[3712, 3712, 3712, 3712, 3712, 3712, 3712, 3712]","[2288, 2288, 2288, 2288, 2288, 2288, 2288, 2288]","[4, 4, 4, 4, 4, 4, 4, 4]","[28, 28, 28, 28, 28, 28, 28, 28]","[258, 258, 258, 258, 258, 258, 258, 258]","[29, 29, 29, 29, 29, 29, 29, 29]","[64, 64, 64, 64, 64, 64, 64, 64]",[0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0.]
32,"[3712, 3712, 3712, 3712, 3712, 3712, 3712, 3712]","[2288, 2288, 2288, 2288, 2288, 2288, 2288, 2288]","[4, 4, 4, 4, 4, 4, 4, 4]","[28, 28, 28, 28, 28, 28, 28, 28]","[262, 262, 262, 262, 262, 262, 262, 262]","[29, 29, 29, 29, 29, 29, 29, 29]","[64, 64, 64, 64, 64, 64, 64, 64]",[0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0.]
33,"[3712, 3712, 3712, 3712, 3712, 3712, 3712, 3712]","[2288, 2288, 2288, 2288, 2288, 2288, 2288, 2288]","[4, 4, 4, 4, 4, 4, 4, 4]","[28, 28, 28, 28, 28, 28, 28, 28]","[266, 266, 266, 266, 266, 266, 266, 266]","[29, 29, 29, 29, 29, 29, 29, 29]","[64, 64, 64, 64, 64, 64, 64, 64]",[0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0.]
