step,x_position,y_position,drivingMode,gameMode,frame,current_checkpoint,surface,reward,total_reward
518,"[3712, 3712, 3712, 3712, 3712, 3712, 3712, 3712]","[2288, 2288, 2288, 2288, 2288, 2288, 2288, 2288]","[4, 4, 4, 4, 4, 4, 4, 4]","[28, 28, 28, 28, 28, 28, 28, 28]","[142, 142, 142, 142, 142, 142, 142, 142]","[29, 29, 29, 29, 29, 29, 29, 29]","[64, 64, 64, 64, 64, 64, 64, 64]",[0. 0. 0. 0. 0. 0. 0. 0.],[192. 192. 192. 192. 192. 192. 192. 192.]
519,"[3712, 3712, 3712, 3712, 3712, 3712, 3712, 3712]","[2288, 2288, 2288, 2288, 2288, 2288, 2288, 2288]","[4, 4, 4, 4, 4, 4, 4, 4]","[28, 28, 28, 28, 28, 28, 28, 28]","[146, 146, 146, 146, 146, 146, 146, 146]","[29, 29, 29, 29, 29, 29, 29, 29]","[64, 64, 64, 64, 64, 64, 64, 64]",[0. 0. 0. 0. 0. 0. 0. 0.],[192. 192. 192. 192. 192. 192. 192. 192.]
520,"[3712, 3712, 3712, 3712, 3712, 3712, 3712, 3712]","[2288, 2288, 2288, 2288, 2288, 2288, 2288, 2288]","[4, 4, 4, 4, 4, 4, 4, 4]","[28, 28, 28, 28, 28, 28, 28, 28]","[150, 150, 150, 150, 150, 150, 150, 150]","[29, 29, 29, 29, 29, 29, 29, 29]","[64, 64, 64, 64, 64, 64, 64, 64]",[0. 0. 0. 0. 0. 0. 0. 0.],[192. 192. 192. 192. 192. 192. 192. 192.]
521,"[3712, 3712, 3712, 3712, 3712, 3712, 3712, 3712]","[2288, 2288, 2288, 2288, 2288, 2288, 2288, 2288]","[4, 4, 4, 4, 4, 4, 4, 4]","[28, 28, 28, 28, 28, 28, 28, 28]","[154, 154, 154, 154, 154, 154, 154, 154]","[29, 29, 29, 29, 29, 29, 29, 29]","[64, 64, 64, 64, 64, 64, 64, 64]",[0. 0. 0. 0. 0. 0. 0. 0.],[192. 192. 192. 192. 192. 192. 192. 192.]
522,"[3712, 3712, 3712, 3712, 3712, 3712, 3712, 3712]","[2288, 2288, 2288, 2288, 2288, 2288, 2288, 2288]","[4, 4, 4, 4, 4, 4, 4, 4]","[28, 28, 28, 28, 28, 28, 28, 28]","[158, 158, 158, 158, 158, 158, 158, 158]","[29, 29, 29, 29, 29, 29, 29, 29]","[64, 64, 64, 64, 64, 64, 64, 64]",[0. 0. 0. 0. 0. 0. 0. 0.],[192. 192. 192. 192. 192. 192. 192. 192.]
523,"[3712, 3712, 3712, 3712, 3712, 3712, 3712, 3712]","[2288, 2288, 2288, 2288, 2288, 2288, 2288, 2288]","[4, 4, 4, 4, 4, 4, 4, 4]","[28, 28, 28, 28, 28, 28, 28, 28]","[162, 162, 162, 162, 162, 162, 162, 162]","[29, 29, 29, 29, 29, 29, 29, 29]","[64, 64, 64, 64, 64, 64, 64, 64]",[0. 0. 0. 0. 0. 0. 0. 0.],[192. 192. 192. 192. 192. 192. 192. 192.]
524,"[3712, 3712, 3712, 3712, 3712, 3712, 3712, 3712]","[2288, 2288, 2288, 2288, 2288, 2288, 2288, 2288]","[4, 4, 4, 4, 4, 4, 4, 4]","[28, 28, 28, 28, 28, 28, 28, 28]","[166, 166, 166, 166, 166, 166, 166, 166]","[29, 29, 29, 29, 29, 29, 29, 29]","[64, 64, 64, 64, 64, 64, 64, 64]",[0. 0. 0. 0. 0. 0. 0. 0.],[192. 192. 192. 192. 192. 192. 192. 192.]
525,"[3712, 3712, 3712, 3712, 3712, 3712, 3712, 3712]","[2288, 2288, 2288, 2288, 2288, 2288, 2288, 2288]","[4, 4, 4, 4, 4, 4, 4, 4]","[28, 28, 28, 28, 28, 28, 28, 28]","[170, 170, 170, 170, 170, 170, 170, 170]","[29, 29, 29, 29, 29, 29, 29, 29]","[64, 64, 64, 64, 64, 64, 64, 64]",[0. 0. 0. 0. 0. 0. 0. 0.],[192. 192. 192. 192. 192. 192. 192. 192.]
526,"[3712, 3712, 3712, 3712, 3712, 3712, 3712, 3712]","[2288, 2288, 2288, 2288, 2288, 2288, 2288, 2288]","[4, 4, 4, 4, 4, 4, 4, 4]","[28, 28, 28, 28, 28, 28, 28, 28]","[174, 174, 174, 174, 174, 174, 174, 174]","[29, 29, 29, 29, 29, 29, 29, 29]","[64, 64, 64, 64, 64, 64, 64, 64]",[0. 0. 0. 0. 0. 0. 0. 0.],[192. 192. 192. 192. 192. 192. 192. 192.]
527,"[3712, 3712, 3712, 3712, 3712, 3712, 3712, 3712]","[2288, 2288, 2288, 2288, 2288, 2288, 2288, 2288]","[4, 4, 4, 4, 4, 4, 4, 4]","[28, 28, 28, 28, 28, 28, 28, 28]","[178, 178, 178, 178, 178, 178, 178, 178]","[29, 29, 29, 29, 29, 29, 29, 29]","[64, 64, 64, 64, 64, 64, 64, 64]",[0. 0. 0. 0. 0. 0. 0. 0.],[192. 192. 192. 192. 192. 192. 192. 192.]
528,"[3712, 3712, 3712, 3712, 3712, 3712, 3712, 3712]","[2288, 2288, 2288, 2288, 2288, 2288, 2288, 2288]","[4, 4, 4, 4, 4, 4, 4, 4]","[28, 28, 28, 28, 28, 28, 28, 28]","[182, 182, 182, 182, 182, 182, 182, 182]","[29, 29, 29, 29, 29, 29, 29, 29]","[64, 64, 64, 64, 64, 64, 64, 64]",[0. 0. 0. 0. 0. 0. 0. 0.],[192. 192. 192. 192. 192. 192. 192. 192.]
529,"[3712, 3712, 3712, 3712, 3712, 3712, 3712, 3712]","[2288, 2288, 2288, 2288, 2288, 2288, 2288, 2288]","[4, 4, 4, 4, 4, 4, 4, 4]","[28, 28, 28, 28, 28, 28, 28, 28]","[186, 186, 186, 186, 186, 186, 186, 186]","[29, 29, 29, 29, 29, 29, 29, 29]","[64, 64, 64, 64, 64, 64, 64, 64]",[0. 0. 0. 0. 0. 0. 0. 0.],[192. 192. 192. 192. 192. 192. 192. 192.]
530,"[3712, 3712, 3712, 3712, 3712, 3712, 3712, 3712]","[2288, 2288, 2288, 2288, 2288, 2288, 2288, 2288]","[4, 4, 4, 4, 4, 4, 4, 4]","[28, 28, 28, 28, 28, 28, 28, 28]","[190, 190, 190, 190, 190, 190, 190, 190]","[29, 29, 29, 29, 29, 29, 29, 29]","[64, 64, 64, 64, 64, 64, 64, 64]",[0. 0. 0. 0. 0. 0. 0. 0.],[192. 192. 192. 192. 192. 192. 192. 192.]
531,"[3712, 3712, 3712, 3712, 3712, 3712, 3712, 3712]","[2288, 2288, 2288, 2288, 2288, 2288, 2288, 2288]","[4, 4, 4, 4, 4, 4, 4, 4]","[28, 28, 28, 28, 28, 28, 28, 28]","[194, 194, 194, 194, 194, 194, 194, 194]","[29, 29, 29, 29, 29, 29, 29, 29]","[64, 64, 64, 64, 64, 64, 64, 64]",[0. 0. 0. 0. 0. 0. 0. 0.],[192. 192. 192. 192. 192. 192. 192. 192.]
532,"[3712, 3712, 3712, 3712, 3712, 3712, 3712, 3712]","[2288, 2288, 2288, 2288, 2288, 2288, 2288, 2288]","[4, 4, 4, 4, 4, 4, 4, 4]","[28, 28, 28, 28, 28, 28, 28, 28]","[198, 198, 198, 198, 198, 198, 198, 198]","[29, 29, 29, 29, 29, 29, 29, 29]","[64, 64, 64, 64, 64, 64, 64, 64]",[0. 0. 0. 0. 0. 0. 0. 0.],[192. 192. 192. 192. 192. 192. 192. 192.]
533,"[3712, 3712, 3712, 3712, 3712, 3712, 3712, 3712]","[2288, 2288, 2288, 2288, 2288, 2288, 2288, 2288]","[4, 4, 4, 4, 4, 4, 4, 4]","[28, 28, 28, 28, 28, 28, 28, 28]","[202, 202, 202, 202, 202, 202, 202, 202]","[29, 29, 29, 29, 29, 29, 29, 29]","[64, 64, 64, 64, 64, 64, 64, 64]",[0. 0. 0. 0. 0. 0. 0. 0.],[192. 192. 192. 192. 192. 192. 192. 192.]
534,"[3712, 3712, 3712, 3712, 3712, 3712, 3712, 3712]","[2288, 2288, 2288, 2288, 2288, 2288, 2288, 2288]","[4, 4, 4, 4, 4, 4, 4, 4]","[28, 28, 28, 28, 28, 28, 28, 28]","[206, 206, 206, 206, 206, 206, 206, 206]","[29, 29, 29, 29, 29, 29, 29, 29]","[64, 64, 64, 64, 64, 64, 64, 64]",[0. 0. 0. 0. 0. 0. 0. 0.],[192. 192. 192. 192. 192. 192. 192. 192.]
535,"[3712, 3712, 3712, 3712, 3712, 3712, 3712, 3712]","[2288, 2288, 2288, 2288, 2288, 2288, 2288, 2288]","[4, 4, 4, 4, 4, 4, 4, 4]","[28, 28, 28, 28, 28, 28, 28, 28]","[210, 210, 210, 210, 210, 210, 210, 210]","[29, 29, 29, 29, 29, 29, 29, 29]","[64, 64, 64, 64, 64, 64, 64, 64]",[0. 0. 0. 0. 0. 0. 0. 0.],[192. 192. 192. 192. 192. 192. 192. 192.]
536,"[3712, 3712, 3712, 3712, 3712, 3712, 3712, 3712]","[2288, 2288, 2288, 2288, 2288, 2288, 2288, 2288]","[4, 4, 4, 4, 4, 4, 4, 4]","[28, 28, 28, 28, 28, 28, 28, 28]","[214, 214, 214, 214, 214, 214, 214, 214]","[29, 29, 29, 29, 29, 29, 29, 29]","[64, 64, 64, 64, 64, 64, 64, 64]",[0. 0. 0. 0. 0. 0. 0. 0.],[192. 192. 192. 192. 192. 192. 192. 192.]
537,"[3712, 3712, 3712, 3712, 3712, 3712, 3712, 3712]","[2288, 2288, 2288, 2288, 2288, 2288, 2288, 2288]","[4, 4, 4, 4, 4, 4, 4, 4]","[28, 28, 28, 28, 28, 28, 28, 28]","[218, 218, 218, 218, 218, 218, 218, 218]","[29, 29, 29, 29, 29, 29, 29, 29]","[64, 64, 64, 64, 64, 64, 64, 64]",[0. 0. 0. 0. 0. 0. 0. 0.],[192. 192. 192. 192. 192. 192. 192. 192.]
538,"[3712, 3712, 3712, 3712, 3712, 3712, 3712, 3712]","[2288, 2288, 2288, 2288, 2288, 2288, 2288, 2288]","[4, 4, 4, 4, 4, 4, 4, 4]","[28, 28, 28, 28, 28, 28, 28, 28]","[222, 222, 222, 222, 222, 222, 222, 222]","[29, 29, 29, 29, 29, 29, 29, 29]","[64, 64, 64, 64, 64, 64, 64, 64]",[0. 0. 0. 0. 0. 0. 0. 0.],[192. 192. 192. 192. 192. 192. 192. 192.]
539,"[3712, 3712, 3712, 3712, 3712, 3712, 3712, 3712]","[2288, 2288, 2288, 2288, 2288, 2288, 2288, 2288]","[4, 4, 4, 4, 4, 4, 4, 4]","[28, 28, 28, 28, 28, 28, 28, 28]","[226, 226, 226, 226, 226, 226, 226, 226]","[29, 29, 29, 29, 29, 29, 29, 29]","[64, 64, 64, 64, 64, 64, 64, 64]",[0. 0. 0. 0. 0. 0. 0. 0.],[192. 192. 192. 192. 192. 192. 192. 192.]
540,"[3712, 3712, 3712, 3712, 3712, 3712, 3712, 3712]","[2288, 2288, 2288, 2288, 2288, 2288, 2288, 2288]","[4, 4, 4, 4, 4, 4, 4, 4]","[28, 28, 28, 28, 28, 28, 28, 28]","[230, 230, 230, 230, 230, 230, 230, 230]","[29, 29, 29, 29, 29, 29, 29, 29]","[64, 64, 64, 64, 64, 64, 64, 64]",[0. 0. 0. 0. 0. 0. 0. 0.],[192. 192. 192. 192. 192. 192. 192. 192.]
541,"[3712, 3712, 3712, 3712, 3712, 3712, 3712, 3712]","[2288, 2288, 2288, 2288, 2288, 2288, 2288, 2288]","[4, 4, 4, 4, 4, 4, 4, 4]","[28, 28, 28, 28, 28, 28, 28, 28]","[234, 234, 234, 234, 234, 234, 234, 234]","[29, 29, 29, 29, 29, 29, 29, 29]","[64, 64, 64, 64, 64, 64, 64, 64]",[0. 0. 0. 0. 0. 0. 0. 0.],[192. 192. 192. 192. 192. 192. 192. 192.]
542,"[3712, 3712, 3712, 3712, 3712, 3712, 3712, 3712]","[2288, 2288, 2288, 2288, 2288, 2288, 2288, 2288]","[4, 4, 4, 4, 4, 4, 4, 4]","[28, 28, 28, 28, 28, 28, 28, 28]","[238, 238, 238, 238, 238, 238, 238, 238]","[29, 29, 29, 29, 29, 29, 29, 29]","[64, 64, 64, 64, 64, 64, 64, 64]",[0. 0. 0. 0. 0. 0. 0. 0.],[192. 192. 192. 192. 192. 192. 192. 192.]
543,"[3712, 3712, 3712, 3712, 3712, 3712, 3712, 3712]","[2288, 2288, 2288, 2288, 2288, 2288, 2288, 2288]","[4, 4, 4, 4, 4, 4, 4, 4]","[28, 28, 28, 28, 28, 28, 28, 28]","[242, 242, 242, 242, 242, 242, 242, 242]","[29, 29, 29, 29, 29, 29, 29, 29]","[64, 64, 64, 64, 64, 64, 64, 64]",[0. 0. 0. 0. 0. 0. 0. 0.],[192. 192. 192. 192. 192. 192. 192. 192.]
544,"[3712, 3712, 3712, 3712, 3712, 3712, 3712, 3712]","[2288, 2288, 2288, 2288, 2288, 2288, 2288, 2288]","[4, 4, 4, 4, 4, 4, 4, 4]","[28, 28, 28, 28, 28, 28, 28, 28]","[246, 246, 246, 246, 246, 246, 246, 246]","[29, 29, 29, 29, 29, 29, 29, 29]","[64, 64, 64, 64, 64, 64, 64, 64]",[0. 0. 0. 0. 0. 0. 0. 0.],[192. 192. 192. 192. 192. 192. 192. 192.]
545,"[3712, 3712, 3712, 3712, 3712, 3712, 3712, 3712]","[2288, 2288, 2288, 2288, 2288, 2288, 2288, 2288]","[4, 4, 4, 4, 4, 4, 4, 4]","[28, 28, 28, 28, 28, 28, 28, 28]","[250, 250, 250, 250, 250, 250, 250, 250]","[29, 29, 29, 29, 29, 29, 29, 29]","[64, 64, 64, 64, 64, 64, 64, 64]",[0. 0. 0. 0. 0. 0. 0. 0.],[192. 192. 192. 192. 192. 192. 192. 192.]
546,"[3712, 3712, 3712, 3712, 3712, 3712, 3712, 3712]","[2288, 2288, 2288, 2288, 2288, 2288, 2288, 2288]","[4, 4, 4, 4, 4, 4, 4, 4]","[28, 28, 28, 28, 28, 28, 28, 28]","[254, 254, 254, 254, 254, 254, 254, 254]","[29, 29, 29, 29, 29, 29, 29, 29]","[64, 64, 64, 64, 64, 64, 64, 64]",[0. 0. 0. 0. 0. 0. 0. 0.],[192. 192. 192. 192. 192. 192. 192. 192.]
547,"[3712, 3712, 3712, 3712, 3712, 3712, 3712, 3712]","[2288, 2288, 2288, 2288, 2288, 2288, 2288, 2288]","[4, 4, 4, 4, 4, 4, 4, 4]","[28, 28, 28, 28, 28, 28, 28, 28]","[258, 258, 258, 258, 258, 258, 258, 258]","[29, 29, 29, 29, 29, 29, 29, 29]","[64, 64, 64, 64, 64, 64, 64, 64]",[0. 0. 0. 0. 0. 0. 0. 0.],[192. 192. 192. 192. 192. 192. 192. 192.]
548,"[3712, 3712, 3712, 3712, 3712, 3712, 3712, 3712]","[2288, 2288, 2288, 2288, 2288, 2288, 2288, 2288]","[4, 4, 4, 4, 4, 4, 4, 4]","[28, 28, 28, 28, 28, 28, 28, 28]","[262, 262, 262, 262, 262, 262, 262, 262]","[29, 29, 29, 29, 29, 29, 29, 29]","[64, 64, 64, 64, 64, 64, 64, 64]",[0. 0. 0. 0. 0. 0. 0. 0.],[192. 192. 192. 192. 192. 192. 192. 192.]
549,"[3712, 3712, 3712, 3712, 3712, 3712, 3712, 3712]","[2288, 2288, 2288, 2288, 2288, 2288, 2288, 2288]","[4, 4, 4, 4, 4, 4, 4, 4]","[28, 28, 28, 28, 28, 28, 28, 28]","[266, 266, 266, 266, 266, 266, 266, 266]","[29, 29, 29, 29, 29, 29, 29, 29]","[64, 64, 64, 64, 64, 64, 64, 64]",[0. 0. 0. 0. 0. 0. 0. 0.],[192. 192. 192. 192. 192. 192. 192. 192.]
550,"[3712, 3712, 3712, 3712, 3712, 3712, 3712, 3712]","[2288, 2288, 2288, 2288, 2288, 2288, 2288, 2288]","[4, 4, 4, 4, 4, 4, 4, 4]","[28, 28, 28, 28, 28, 28, 28, 28]","[270, 270, 270, 270, 270, 270, 270, 270]","[29, 29, 29, 29, 29, 29, 29, 29]","[64, 64, 64, 64, 64, 64, 64, 64]",[0. 0. 0. 0. 0. 0. 0. 0.],[192. 192. 192. 192. 192. 192. 192. 192.]
551,"[3712, 3712, 3712, 3712, 3712, 3712, 3712, 3712]","[2288, 2288, 2288, 2288, 2288, 2288, 2288, 2288]","[4, 4, 4, 4, 4, 4, 4, 4]","[28, 28, 28, 28, 28, 28, 28, 28]","[274, 274, 274, 274, 274, 274, 274, 274]","[29, 29, 29, 29, 29, 29, 29, 29]","[64, 64, 64, 64, 64, 64, 64, 64]",[0. 0. 0. 0. 0. 0. 0. 0.],[192. 192. 192. 192. 192. 192. 192. 192.]
552,"[3712, 3712, 3712, 3712, 3712, 3712, 3712, 3712]","[2288, 2288, 2288, 2288, 2288, 2288, 2288, 2288]","[4, 4, 4, 4, 4, 4, 4, 4]","[28, 28, 28, 28, 28, 28, 28, 28]","[278, 278, 278, 278, 278, 278, 278, 278]","[29, 29, 29, 29, 29, 29, 29, 29]","[64, 64, 64, 64, 64, 64, 64, 64]",[0. 0. 0. 0. 0. 0. 0. 0.],[192. 192. 192. 192. 192. 192. 192. 192.]
553,"[3712, 3712, 3712, 3712, 3712, 3712, 3712, 3712]","[2288, 2288, 2288, 2288, 2288, 2288, 2288, 2288]","[4, 4, 4, 4, 4, 4, 4, 4]","[28, 28, 28, 28, 28, 28, 28, 28]","[282, 282, 282, 282, 282, 282, 282, 282]","[29, 29, 29, 29, 29, 29, 29, 29]","[64, 64, 64, 64, 64, 64, 64, 64]",[0. 0. 0. 0. 0. 0. 0. 0.],[192. 192. 192. 192. 192. 192. 192. 192.]
554,"[3712, 3712, 3712, 3712, 3712, 3712, 3712, 3712]","[2288, 2288, 2288, 2288, 2288, 2288, 2288, 2288]","[4, 4, 4, 4, 4, 4, 4, 4]","[28, 28, 28, 28, 28, 28, 28, 28]","[286, 286, 286, 286, 286, 286, 286, 286]","[29, 29, 29, 29, 29, 29, 29, 29]","[64, 64, 64, 64, 64, 64, 64, 64]",[0. 0. 0. 0. 0. 0. 0. 0.],[192. 192. 192. 192. 192. 192. 192. 192.]
555,"[3712, 3712, 3712, 3712, 3712, 3712, 3712, 3712]","[2288, 2288, 2288, 2288, 2288, 2288, 2288, 2288]","[4, 4, 4, 4, 4, 4, 4, 4]","[28, 28, 28, 28, 28, 28, 28, 28]","[290, 290, 290, 290, 290, 290, 290, 290]","[29, 29, 29, 29, 29, 29, 29, 29]","[64, 64, 64, 64, 64, 64, 64, 64]",[0. 0. 0. 0. 0. 0. 0. 0.],[192. 192. 192. 192. 192. 192. 192. 192.]
556,"[3712, 3712, 3712, 3712, 3712, 3712, 3712, 3712]","[2288, 2288, 2288, 2288, 2288, 2288, 2288, 2288]","[4, 4, 4, 4, 4, 4, 4, 4]","[28, 28, 28, 28, 28, 28, 28, 28]","[294, 294, 294, 294, 294, 294, 294, 294]","[29, 29, 29, 29, 29, 29, 29, 29]","[64, 64, 64, 64, 64, 64, 64, 64]",[0. 0. 0. 0. 0. 0. 0. 0.],[192. 192. 192. 192. 192. 192. 192. 192.]
557,"[3712, 3712, 3712, 3712, 3712, 3712, 3712, 3712]","[2288, 2288, 2288, 2288, 2288, 2288, 2288, 2288]","[4, 4, 4, 4, 4, 4, 4, 4]","[28, 28, 28, 28, 28, 28, 28, 28]","[298, 298, 298, 298, 298, 298, 298, 298]","[29, 29, 29, 29, 29, 29, 29, 29]","[64, 64, 64, 64, 64, 64, 64, 64]",[0. 0. 0. 0. 0. 0. 0. 0.],[192. 192. 192. 192. 192. 192. 192. 192.]
558,"[3712, 3712, 3712, 3712, 3712, 3712, 3712, 3712]","[2288, 2288, 2288, 2288, 2288, 2288, 2288, 2288]","[4, 4, 4, 4, 4, 4, 4, 4]","[28, 28, 28, 28, 28, 28, 28, 28]","[302, 302, 302, 302, 302, 302, 302, 302]","[29, 29, 29, 29, 29, 29, 29, 29]","[64, 64, 64, 64, 64, 64, 64, 64]",[0. 0. 0. 0. 0. 0. 0. 0.],[192. 192. 192. 192. 192. 192. 192. 192.]
559,"[3712, 3712, 3712, 3712, 3712, 3712, 3712, 3712]","[2288, 2288, 2288, 2288, 2288, 2288, 2288, 2288]","[4, 4, 4, 4, 4, 4, 4, 4]","[28, 28, 28, 28, 28, 28, 28, 28]","[306, 306, 306, 306, 306, 306, 306, 306]","[29, 29, 29, 29, 29, 29, 29, 29]","[64, 64, 64, 64, 64, 64, 64, 64]",[0. 0. 0. 0. 0. 0. 0. 0.],[192. 192. 192. 192. 192. 192. 192. 192.]
560,"[3712, 3712, 3712, 3712, 3712, 3712, 3712, 3712]","[2288, 2288, 2288, 2288, 2288, 2288, 2288, 2288]","[4, 4, 4, 4, 4, 4, 4, 4]","[28, 28, 28, 28, 28, 28, 28, 28]","[310, 310, 310, 310, 310, 310, 310, 310]","[29, 29, 29, 29, 29, 29, 29, 29]","[64, 64, 64, 64, 64, 64, 64, 64]",[0. 0. 0. 0. 0. 0. 0. 0.],[192. 192. 192. 192. 192. 192. 192. 192.]
561,"[3712, 3712, 3712, 3712, 3712, 3712, 3712, 3712]","[2288, 2288, 2288, 2288, 2288, 2288, 2288, 2288]","[4, 4, 4, 4, 4, 4, 4, 4]","[28, 28, 28, 28, 28, 28, 28, 28]","[314, 314, 314, 314, 314, 314, 314, 314]","[29, 29, 29, 29, 29, 29, 29, 29]","[64, 64, 64, 64, 64, 64, 64, 64]",[0. 0. 0. 0. 0. 0. 0. 0.],[192. 192. 192. 192. 192. 192. 192. 192.]
562,"[3712, 3712, 3712, 3712, 3712, 3712, 3712, 3712]","[2288, 2288, 2288, 2288, 2288, 2288, 2288, 2288]","[4, 4, 4, 4, 4, 4, 4, 4]","[28, 28, 28, 28, 28, 28, 28, 28]","[318, 318, 318, 318, 318, 318, 318, 318]","[29, 29, 29, 29, 29, 29, 29, 29]","[64, 64, 64, 64, 64, 64, 64, 64]",[0. 0. 0. 0. 0. 0. 0. 0.],[192. 192. 192. 192. 192. 192. 192. 192.]
563,"[3712, 3712, 3712, 3712, 3712, 3712, 3712, 3712]","[2288, 2288, 2288, 2288, 2288, 2288, 2288, 2288]","[4, 4, 4, 4, 4, 4, 4, 4]","[28, 28, 28, 28, 28, 28, 28, 28]","[322, 322, 322, 322, 322, 322, 322, 322]","[29, 29, 29, 29, 29, 29, 29, 29]","[64, 64, 64, 64, 64, 64, 64, 64]",[0. 0. 0. 0. 0. 0. 0. 0.],[192. 192. 192. 192. 192. 192. 192. 192.]
564,"[3712, 3712, 3712, 3712, 3712, 3712, 3712, 3712]","[2288, 2288, 2288, 2288, 2288, 2288, 2288, 2288]","[4, 4, 4, 4, 4, 4, 4, 4]","[28, 28, 28, 28, 28, 28, 28, 28]","[326, 326, 326, 326, 326, 326, 326, 326]","[29, 29, 29, 29, 29, 29, 29, 29]","[64, 64, 64, 64, 64, 64, 64, 64]",[0. 0. 0. 0. 0. 0. 0. 0.],[192. 192. 192. 192. 192. 192. 192. 192.]
565,"[3712, 3712, 3712, 3712, 3712, 3712, 3712, 3712]","[2288, 2288, 2288, 2288, 2288, 2288, 2288, 2288]","[4, 4, 4, 4, 4, 4, 4, 4]","[28, 28, 28, 28, 28, 28, 28, 28]","[330, 330, 330, 330, 330, 330, 330, 330]","[29, 29, 29, 29, 29, 29, 29, 29]","[64, 64, 64, 64, 64, 64, 64, 64]",[0. 0. 0. 0. 0. 0. 0. 0.],[192. 192. 192. 192. 192. 192. 192. 192.]
566,"[3712, 3712, 3712, 3712, 3712, 3712, 3712, 3712]","[2288, 2288, 2288, 2288, 2288, 2288, 2288, 2288]","[4, 4, 4, 4, 4, 4, 4, 4]","[28, 28, 28, 28, 28, 28, 28, 28]","[334, 334, 334, 334, 334, 334, 334, 334]","[29, 29, 29, 29, 29, 29, 29, 29]","[64, 64, 64, 64, 64, 64, 64, 64]",[0. 0. 0. 0. 0. 0. 0. 0.],[192. 192. 192. 192. 192. 192. 192. 192.]
567,"[3712, 3712, 3712, 3712, 3712, 3712, 3712, 3712]","[2288, 2288, 2288, 2288, 2288, 2288, 2288, 2288]","[6, 6, 6, 6, 6, 6, 6, 6]","[28, 28, 28, 28, 28, 28, 28, 28]","[338, 338, 338, 338, 338, 338, 338, 338]","[29, 29, 29, 29, 29, 29, 29, 29]","[64, 64, 64, 64, 64, 64, 64, 64]",[0. 0. 0. 0. 0. 0. 0. 0.],[192. 192. 192. 192. 192. 192. 192. 192.]
568,"[3712, 3712, 3712, 3712, 3712, 3712, 3712, 3712]","[2287, 2287, 2287, 2287, 2287, 2287, 2287, 2287]","[6, 6, 6, 6, 6, 6, 6, 6]","[28, 28, 28, 28, 28, 28, 28, 28]","[342, 342, 342, 342, 342, 342, 342, 342]","[29, 29, 29, 29, 29, 29, 29, 29]","[64, 64, 64, 64, 64, 64, 64, 64]",[1. 1. 1. 1. 1. 1. 1. 1.],[192. 192. 192. 192. 192. 192. 192. 192.]
569,"[3712, 3712, 3712, 3712, 3712, 3712, 3712, 3712]","[2287, 2287, 2287, 2287, 2287, 2287, 2287, 2287]","[6, 6, 6, 6, 6, 6, 6, 6]","[28, 28, 28, 28, 28, 28, 28, 28]","[346, 346, 346, 346, 346, 346, 346, 346]","[29, 29, 29, 29, 29, 29, 29, 29]","[64, 64, 64, 64, 64, 64, 64, 64]",[0. 0. 0. 0. 0. 0. 0. 0.],[193. 193. 193. 193. 193. 193. 193. 193.]
570,"[3712, 3712, 3712, 3712, 3712, 3712, 3712, 3712]","[2287, 2287, 2287, 2287, 2287, 2287, 2287, 2287]","[6, 6, 6, 6, 6, 6, 6, 6]","[28, 28, 28, 28, 28, 28, 28, 28]","[350, 350, 350, 350, 350, 350, 350, 350]","[29, 29, 29, 29, 29, 29, 29, 29]","[64, 64, 64, 64, 64, 64, 64, 64]",[0. 0. 0. 0. 0. 0. 0. 0.],[193. 193. 193. 193. 193. 193. 193. 193.]
571,"[3712, 3712, 3712, 3712, 3712, 3712, 3712, 3712]","[2286, 2286, 2286, 2286, 2286, 2286, 2286, 2286]","[6, 6, 6, 6, 6, 6, 6, 6]","[28, 28, 28, 28, 28, 28, 28, 28]","[354, 354, 354, 354, 354, 354, 354, 354]","[29, 29, 29, 29, 29, 29, 29, 29]","[64, 64, 64, 64, 64, 64, 64, 64]",[1. 1. 1. 1. 1. 1. 1. 1.],[193. 193. 193. 193. 193. 193. 193. 193.]
572,"[3712, 3712, 3712, 3712, 3712, 3712, 3712, 3712]","[2285, 2285, 2285, 2285, 2285, 2285, 2285, 2285]","[6, 6, 6, 6, 6, 6, 6, 6]","[28, 28, 28, 28, 28, 28, 28, 28]","[358, 358, 358, 358, 358, 358, 358, 358]","[29, 29, 29, 29, 29, 29, 29, 29]","[64, 64, 64, 64, 64, 64, 64, 64]",[1. 1. 1. 1. 1. 1. 1. 1.],[194. 194. 194. 194. 194. 194. 194. 194.]
573,"[3712, 3712, 3712, 3712, 3712, 3712, 3712, 3712]","[2284, 2284, 2284, 2284, 2284, 2284, 2284, 2284]","[6, 6, 6, 6, 6, 6, 6, 6]","[28, 28, 28, 28, 28, 28, 28, 28]","[362, 362, 362, 362, 362, 362, 362, 362]","[29, 29, 29, 29, 29, 29, 29, 29]","[64, 64, 64, 64, 64, 64, 64, 64]",[1. 1. 1. 1. 1. 1. 1. 1.],[195. 195. 195. 195. 195. 195. 195. 195.]
