time/time_elapsed,time/iterations,time/fps,time/total_timesteps,train/entropy_loss,train/loss,train/explained_variance,train/n_updates,train/clip_range,train/value_loss,train/clip_fraction,train/learning_rate,train/approx_kl,train/policy_gradient_loss,rollout/ep_rew_mean,rollout/ep_len_mean
2356,469,152,360192,-0.00013033781902373044,0.8776034116744995,0.817316472530365,1404,0.2,1.368186985866891,0.0,0.00025,-4.4705217e-10,3.7149422698550756e-07,-6519.593219571428,73049.42857142857
2361,470,152,360960,-0.00012889869544273501,1.2019062042236328,0.7834945321083069,1407,0.2,1.7798083101709683,0.0,0.00025,-4.175463e-10,4.834550458730923e-07,-6519.593219571428,73049.42857142857
2366,471,152,361728,-0.00012687523192451207,1.2413324117660522,0.864563524723053,1410,0.2,1.47865741699934,0.0,0.00025,-2.4812152e-10,1.5904919968711005e-07,-6519.593219571428,73049.42857142857
2371,472,152,362496,-0.00011936287016093654,1.9402036666870117,0.8055485486984253,1413,0.2,2.214559218949742,0.0,0.00025,4.770066e-10,2.591275713509983e-07,-6519.593219571428,73049.42857142857
2375,473,152,363264,-0.00013034197804194668,2.487145185470581,0.7984679937362671,1416,0.2,1.2365337829622958,0.0,0.00025,-1.145026e-09,2.697569369855854e-07,-6519.593219571428,73049.42857142857
2380,474,152,364032,-0.00011682689506010825,1.1548852920532227,0.8350719213485718,1419,0.2,1.3515737007061641,0.0,0.00025,-9.362259e-10,1.8794606957170697e-07,-6519.593219571428,73049.42857142857
2387,475,152,364800,-0.00014164229691636542,4.421400547027588,0.798547089099884,1422,0.2,1.7414208542969491,0.0,0.00025,-2.390396e-10,2.528993516332573e-07,-6519.593219571428,73049.42857142857
2392,476,152,365568,-0.000114638811181875,1.4973810911178589,0.7516399621963501,1425,0.2,2.075597529609998,0.0,0.00025,-6.2164435e-10,1.7498516374164157e-07,-6519.593219571428,73049.42857142857
2396,477,152,366336,-0.0001181344636683611,1.185376763343811,0.7851442694664001,1428,0.2,1.1082945714394252,0.0,0.00025,-1.5887798e-09,4.910139573944939e-07,-6519.593219571428,73049.42857142857
2401,478,152,367104,-0.00012063801750628045,1.0335148572921753,0.8089881539344788,1431,0.2,1.0572066493332386,0.0,0.00025,9.390545e-10,3.8383425109916266e-07,-6519.593219571428,73049.42857142857
2406,479,152,367872,-0.00013316982019912556,0.5959012508392334,0.8537198901176453,1434,0.2,1.149849364740981,0.0,0.00025,-1.5881495e-09,3.748896738721265e-07,-6519.593219571428,73049.42857142857
2410,480,152,368640,-0.00014879076550439803,0.9421522617340088,0.8805029392242432,1437,0.2,1.5144622408681445,0.0,0.00025,-1.9367181e-09,2.7942264245616065e-07,-6519.593219571428,73049.42857142857
2415,481,152,369408,-0.00017363975267572742,0.4435449540615082,0.9030516147613525,1440,0.2,0.91357631319099,0.0,0.00025,-9.751572e-10,4.4471946441464956e-07,-6519.593219571428,73049.42857142857
2423,482,152,370176,-0.000173859787840532,0.8527554869651794,0.9076060652732849,1443,0.2,1.6495103753275342,0.0,0.00025,-7.271576e-11,2.9330840334296227e-07,-6519.593219571428,73049.42857142857
2427,483,152,370944,-0.00019770239345638806,0.9501287937164307,0.8765345811843872,1446,0.2,1.6734560475581222,0.0,0.00025,5.536969e-10,2.7977269686137635e-07,-6519.593219571428,73049.42857142857
2432,484,152,371712,-0.00019626494738784258,2.06154465675354,0.8765040636062622,1449,0.2,1.034268577893575,0.0,0.00025,-6.2015815e-10,5.189665696687168e-07,-6519.593219571428,73049.42857142857
2436,485,152,372480,-0.00023490144162173642,0.5367485284805298,0.8725886344909668,1452,0.2,0.9333985849387116,0.0,0.00025,7.815378e-10,8.148878502349058e-07,-6519.593219571428,73049.42857142857
2441,486,152,373248,-0.00021811949955008458,0.49423930048942566,0.8527377247810364,1455,0.2,0.9321313827402062,0.0,0.00025,7.9230195e-10,6.826093239295814e-07,-6519.593219571428,73049.42857142857
2446,487,152,374016,-0.0002102098474602422,1.0207934379577637,0.8622586131095886,1458,0.2,1.3815048163135846,0.0,0.00025,1.1762195e-09,2.700253389775753e-07,-6519.593219571428,73049.42857142857
2451,488,152,374784,-0.00024307742084298903,0.8371944427490234,0.8613086938858032,1461,0.2,1.0171296327478356,0.0,0.00025,2.5064809e-10,5.734845116320583e-07,-6519.593219571428,73049.42857142857
2458,489,152,375552,-0.00023808518522451373,0.5127993822097778,0.8642157316207886,1464,0.2,0.8854520697560575,0.0,0.00025,-6.281257e-10,5.178347540398439e-07,-6519.593219571428,73049.42857142857
2463,490,152,376320,-0.0002360261328754455,1.2525925636291504,0.8635488748550415,1467,0.2,1.410182108895646,0.0,0.00025,-8.937591e-10,4.3347891834047107e-07,-6519.593219571428,73049.42857142857
2467,491,152,377088,-0.0002516636830275982,0.7150840163230896,0.8041613698005676,1470,0.2,1.426807856394185,0.0,0.00025,-4.269071e-10,9.87596447683043e-07,-6519.593219571428,73049.42857142857
2472,492,152,377856,-0.00025396183324725524,2.0178511142730713,0.7518599033355713,1473,0.2,1.7660470741490524,0.0,0.00025,-1.5099673e-09,6.033870805468824e-07,-6519.593219571428,73049.42857142857
2477,493,152,378624,-0.00026480852567247994,1.9421272277832031,0.6611053943634033,1476,0.2,1.59057590779331,0.0,0.00025,-7.9137763e-10,1.0591595330172115e-06,-6519.593219571428,73049.42857142857
2481,494,152,379392,-0.0002646056196277237,1.2909595966339111,0.5587179660797119,1479,0.2,2.0072076279256077,0.0,0.00025,-1.4652102e-10,6.120341519514719e-07,-6519.593219571428,73049.42857142857
2486,495,152,380160,-0.00026663558128348086,1.7495248317718506,0.4758031964302063,1482,0.2,1.5724121257662773,0.0,0.00025,3.3570893e-10,1.2924784742709662e-06,-6519.593219571428,73049.42857142857
2493,496,152,380928,-0.00027704299140572804,5.7577314376831055,0.17946624755859375,1485,0.2,3.54609571562873,0.0,0.00025,-1.3092105e-10,1.2023568463822205e-06,-6519.593219571428,73049.42857142857
2498,497,152,381696,-0.00023807097608773297,1.608735203742981,0.6487998366355896,1488,0.2,2.0249964776966305,0.0,0.00025,1.0209279e-09,1.2472737580537796e-06,-6519.593219571428,73049.42857142857
2503,498,152,382464,-0.0002587518774816999,1.0437091588974,0.6436105966567993,1491,0.2,2.4288544580340385,0.0,0.00025,3.2274747e-10,1.0011523651580017e-06,-6519.593219571428,73049.42857142857
2507,499,152,383232,-0.00029675661547419924,2.6581192016601562,0.7589277029037476,1494,0.2,2.2886502659983106,0.0,0.00025,-1.0141458e-09,1.1560429508487384e-06,-6519.593219571428,73049.42857142857
2512,500,152,384000,-0.00028167417116896506,1.8434034585952759,0.7761589288711548,1497,0.2,2.1453808256321483,0.0,0.00025,-5.0681354e-10,6.221234798431396e-07,-6519.593219571428,73049.42857142857
