time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/iterations,time/total_timesteps,train/policy_gradient_loss,train/clip_range,train/approx_kl,train/explained_variance,train/entropy_loss,train/loss,train/value_loss,train/n_updates,train/clip_fraction,train/learning_rate
1915,52.10518004000001,166,1335.07,52,319488,0.012840410573213982,0.2,0.041670512,0.9455905556678772,-7.160466397802035,3.9149203300476074,11.986897587776184,204,0.4233805338541667,0.00025
1948,68.44462506999999,167,1285.97,53,325632,0.006716507996316068,0.2,0.031127607,0.9681336879730225,-6.921027526259422,4.65820837020874,10.334331999222437,208,0.3341471354166667,0.00025
1977,58.814790040000005,167,1290.84,54,331776,0.0029895239325317866,0.2,0.02126796,0.9763010144233704,-7.17838039000829,4.761549949645996,10.753402839104334,212,0.3184000651041667,0.00025
2011,42.22499502000001,167,1337.56,55,337920,0.023081122465858545,0.2,0.03361906,0.9430466294288635,-7.262582739194234,7.960503578186035,17.60222962498665,216,0.4039713541666667,0.00025
2045,44.462179979999995,168,1333.47,56,344064,0.02012673937618577,0.2,0.06552296,0.9635254740715027,-7.049575577179591,4.000814437866211,9.271127591530481,220,0.4038492838541667,0.00025
2076,47.77819499,168,1316.26,57,350208,0.015511070426631099,0.2,0.034064982,0.9634192585945129,-7.172268385688464,4.039957523345947,10.947460750738779,224,0.415283203125,0.00025
2110,39.90636995999999,168,1360.04,58,356352,0.023648753888361778,0.2,0.032954246,0.9592368602752686,-6.78736412525177,3.528883695602417,9.306136757135391,228,0.4558919270833333,0.00025
2144,43.23788496,169,1334.06,59,362496,0.00465896573344556,0.2,0.023944834,0.9686139822006226,-7.067998190720876,3.779189109802246,10.029824435710907,232,0.3260091145833333,0.00025
2178,60.34728003,169,1340.39,60,368640,0.008960045466665179,0.2,0.039344385,0.9686537384986877,-7.183552637696266,5.036116123199463,11.452771152059237,236,0.3499348958333333,0.00025
2210,46.80458006999999,169,1351.84,61,374784,0.007548484446791311,0.2,0.043066446,0.9619093537330627,-7.013043721516927,3.0824146270751953,10.165355135997137,240,0.3862711588541667,0.00025
2245,48.75755002,169,1273.45,62,380928,0.015142818325936483,0.2,0.027344547,0.9650501608848572,-6.86683988571167,8.048518180847168,16.99033369620641,244,0.3519287109375,0.00025
2281,64.92445008,169,1180.34,63,387072,0.01610036180257642,0.2,0.033040147,0.9520267844200134,-6.942048837741216,6.341482639312744,14.114016503095627,248,0.3805745442708333,0.00025
2320,67.00928013,169,1199.91,64,393216,0.008009032744060582,0.2,0.028264744,0.9672325849533081,-7.041561404863994,5.019069671630859,10.724476277828217,252,0.3362630208333333,0.00025
2351,94.02150512999998,169,1112.53,65,399360,0.010052484304954609,0.2,0.040011432,0.9579514265060425,-7.103159432609876,4.419759750366211,11.698480049769083,256,0.3477783203125,0.00025
2378,93.22706017,170,1135.37,66,405504,0.008178441751321467,0.2,0.03789999,0.9641301035881042,-7.073372016350429,3.5527472496032715,8.598530078927675,260,0.374267578125,0.00025
2408,107.53987017,170,1102.51,67,411648,0.004437864362747253,0.2,0.024993835,0.9670807123184204,-7.166760499278705,4.310166835784912,10.196659391125044,264,0.3287353515625,0.00025
2442,107.01905011999999,171,1095.37,68,417792,0.0044005322076069815,0.2,0.016988566,0.9714057445526123,-7.3087227294842405,3.871812582015991,10.647781585653624,268,0.2848714192708333,0.00025
2477,107.91063507999999,171,1125.6,69,423936,0.005578259491206457,0.2,0.02035969,0.9711933732032776,-7.368756517767906,4.22235107421875,8.971452901760737,272,0.3085123697916667,0.00025
2507,102.98441509000003,171,1168.01,70,430080,0.007046674722611594,0.2,0.029577324,0.9669653177261353,-7.266869321465492,4.835416793823242,8.823607588807741,276,0.3275960286458333,0.00025
2544,106.21635008,171,1157.17,71,436224,0.005665265588807718,0.2,0.031402666,0.9609355330467224,-7.354902019103368,3.6022894382476807,9.56017555296421,280,0.3795572916666667,0.00025
2580,95.38218509000001,171,1224.26,72,442368,0.014373356442471655,0.2,0.04755649,0.9777160286903381,-7.3228374769290285,3.242877960205078,8.48982885479927,284,0.3871256510416667,0.00025
2612,91.37896006999999,171,1287.09,73,448512,0.01099718413509739,0.2,0.021051563,0.9691645503044128,-7.152976021170616,3.8433094024658203,9.965964684883753,288,0.388671875,0.00025
2645,84.67849503999997,171,1299.11,74,454656,0.0036884800356347114,0.2,0.025727399,0.9700078368186951,-7.292847310503324,3.478714942932129,10.891877934336662,292,0.2786458333333333,0.00025
2676,88.46896504,172,1262.59,75,460800,0.007838623748587755,0.2,0.027408345,0.9505442380905151,-7.153309136629105,3.767481565475464,10.00514331459999,296,0.3255208333333333,0.00025
2713,80.24433011,172,1254.74,76,466944,0.005709085579534682,0.2,0.032274116,0.9599154591560364,-7.179399157563846,3.169250249862671,8.845282142361006,300,0.3769938151041667,0.00025
2746,81.98605513000001,172,1291.21,77,473088,0.008749977942594947,0.2,0.026071234,0.9413584470748901,-7.014540866017342,4.933752536773682,13.849688991904259,304,0.3021240234375,0.00025
2777,79.73034012000001,172,1300.38,78,479232,0.009983317363852015,0.2,0.028176287,0.9645108580589294,-7.035870244105657,4.247656345367432,12.229849557081858,308,0.3302001953125,0.00025
2808,73.30284513999999,172,1333.43,79,485376,0.008227730727715729,0.2,0.02032892,0.9712584614753723,-6.985380167762439,3.8977739810943604,9.480063001314798,312,0.3713785807291667,0.00025
2839,82.64050514,173,1271.84,80,491520,0.009370583817750836,0.2,0.03927037,0.9382763504981995,-6.867840061585109,3.66847825050354,11.344260156154633,316,0.350830078125,0.00025
2870,78.83583008,173,1225.09,81,497664,0.016933966689975932,0.2,0.0366689,0.9524229168891907,-6.767798324426015,7.596357822418213,9.354219451546669,320,0.4406331380208333,0.00025
2905,80.70638004,173,1166.74,82,503808,0.006928080935419227,0.2,0.0333221,0.9590784311294556,-6.914472748835881,4.720798492431641,13.792085985342661,324,0.3343912760416667,0.00025
2941,74.07148502,173,1181.9,83,509952,0.011637121999228839,0.2,0.02585121,0.9701581001281738,-6.817375873525937,3.8010289669036865,9.355436190962791,328,0.3390299479166667,0.00025
2977,79.24027002000001,173,1171.11,84,516096,0.0012876460726450507,0.2,0.021742245,0.9633560180664062,-6.737625817457835,3.277881383895874,9.245906502008438,332,0.359619140625,0.00025
3010,65.75521004000001,173,1257.13,85,522240,0.012450120091671124,0.2,0.032175392,0.9630959630012512,-6.771544307470322,3.5948634147644043,9.321035787463188,336,0.421875,0.00025
3042,58.55146505999999,173,1330.06,86,528384,0.004186411805373306,0.2,0.032283653,0.9309068322181702,-6.9801138788461685,3.019181966781616,11.377260829011599,340,0.3665771484375,0.00025
3076,57.82550009,173,1426.31,87,534528,0.00578017807371604,0.2,0.02761215,0.9661245346069336,-6.886429751912753,3.5629944801330566,10.262086908022562,344,0.3311767578125,0.00025
3103,57.61384513000001,174,1446.7,88,540672,0.012388205388560891,0.2,0.041698694,0.9710659384727478,-6.8789036720991135,2.7094955444335938,8.250936925411224,348,0.3860677083333333,0.00025
3133,59.01616012999999,174,1431.06,89,546816,0.010702380617052162,0.2,0.031178528,0.9746094942092896,-6.95972965657711,3.4143781661987305,8.829460064570108,352,0.3814697265625,0.00025
3160,75.14414014999998,174,1320.33,90,552960,0.0014081539751108114,0.2,0.019126734,0.9734615683555603,-7.053528393308322,3.204339027404785,8.819341207544008,356,0.3062337239583333,0.00025
3191,78.22926507,175,1269.02,91,559104,0.010008596461072253,0.2,0.038775798,0.9617968201637268,-6.95482836663723,4.338317394256592,13.611337319016457,360,0.3362223307291667,0.00025
3224,89.810225,175,1253.7,92,565248,0.011657398448733147,0.2,0.031652514,0.9761115908622742,-6.894999772310257,3.180441379547119,9.032427628835043,364,0.361328125,0.00025
3257,90.10628499,175,1251.64,93,571392,0.009115590136692239,0.2,0.022096196,0.9691532254219055,-6.974230041106542,4.274079322814941,9.073310539126396,368,0.3166097005208333,0.00025
