time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/value_loss,train/approx_kl,train/learning_rate,train/explained_variance,train/policy_gradient_loss,train/loss,rollout/ep_rew_mean,train/n_updates,train/clip_range,train/clip_fraction,rollout/ep_len_mean,train/entropy_loss
213504,278,153,1387,12.384425395064884,0.04331364,0.00025,0.7336735129356384,0.015375401048610607,8.489397048950195,-10.436998979999998,831,0.2,0.4088541666666667,985.87,-7.529107961389753
214272,279,153,1392,15.065042071872288,0.032982096,0.00025,0.8380290269851685,0.013407091474315772,9.258594512939453,-12.046998939999998,834,0.2,0.3663194444444444,977.43,-7.662887069914076
215040,280,154,1396,15.319441994031271,0.03198221,0.00025,0.8158053159713745,0.0032267151788497963,6.3874921798706055,-6.638998949999999,837,0.2,0.3997395833333333,977.43,-7.638007647461361
215808,281,154,1400,12.970120151837667,0.03638129,0.00025,0.8609523773193359,-0.002674424309386975,10.351743698120117,0.7690010400000002,840,0.2,0.3919270833333333,973.83,-7.674032052357991
216576,282,153,1406,8.701063921054205,0.047290456,0.00025,0.9418148398399353,0.003729283913142151,3.7807059288024902,4.80300101,843,0.2,0.4166666666666667,973.83,-7.6494680643081665
217344,283,153,1411,15.775023248460558,0.044320296,0.00025,0.8168617486953735,0.0009175669272533722,10.963696479797363,6.4650009299999995,846,0.2,0.3459201388888889,979.75,-7.628812611103058
218112,284,153,1416,13.908247964249718,0.035393946,0.00025,0.8024446964263916,0.006396254993483631,7.555800914764404,6.153000930000001,849,0.2,0.3550347222222222,979.75,-7.739483998881446
218880,285,153,1421,10.614997645219168,0.033405308,0.00025,0.8035364747047424,0.007584670002365278,3.4195196628570557,5.66400089,852,0.2,0.3237847222222222,989.34,-7.69640005297131
219648,286,154,1425,12.77026590373781,0.027406389,0.00025,0.808435320854187,0.0054724458216999965,3.4194912910461426,5.46200087,855,0.2,0.359375,989.34,-7.630264560381572
220416,287,154,1430,10.639857424630058,0.025706062,0.00025,0.8655332326889038,0.007351283773055507,4.141167163848877,9.696000849999999,858,0.2,0.2925347222222222,989.34,-7.635009513960944
221184,288,154,1436,14.018740127484003,0.06360837,0.00025,0.8209275007247925,0.015000759927918099,6.661745071411133,9.99400086,861,0.2,0.4613715277777778,989.34,-7.713178071710798
221952,289,154,1441,10.087701039181816,0.038938593,0.00025,0.8042994737625122,0.002047993152195381,8.950736045837402,10.84200088,864,0.2,0.3294270833333333,995.36,-7.647591239876217
222720,290,154,1445,15.103448973761665,0.025480866,0.00025,0.8018754720687866,0.0010559561067364281,7.7103047370910645,11.15600089,867,0.2,0.3194444444444444,995.36,-7.641546116934882
223488,291,154,1450,9.994339489274555,0.036387052,0.00025,0.8897003531455994,0.007227136727629436,5.699319839477539,9.77600096,870,0.2,0.3463541666666667,990.46,-7.492618951532576
224256,292,154,1456,16.014928778012592,0.043931875,0.00025,0.9106968641281128,0.0206514727194897,10.323348999023438,8.03400099,873,0.2,0.4049479166666667,990.46,-7.635710921552446
225024,293,154,1460,12.60020089480612,0.0770956,0.00025,0.8923177719116211,0.023325885309734277,3.7265913486480713,4.208000880000001,876,0.2,0.3802083333333333,993.18,-7.661309679349263
225792,294,154,1465,19.269065168168808,0.09751036,0.00025,0.9326122999191284,0.015523984588475691,12.197550773620605,4.430000890000002,879,0.2,0.4956597222222222,993.18,-7.805016848776075
226560,295,154,1470,20.108360826969147,0.045968544,0.00025,0.9060748815536499,0.0025886641168552968,9.506916999816895,-1.207999099999999,882,0.2,0.2907986111111111,993.18,-7.665576504336463
227328,296,154,1475,31.650951743125916,0.024186566,0.00025,0.9394010305404663,0.018897964075828593,23.195405960083008,-7.5319990699999995,885,0.2,0.4027777777777778,993.18,-7.682864202393426
228096,297,154,1480,14.160947859287262,0.046145048,0.00025,0.7681970000267029,-3.162523110707601e-05,11.724726676940918,-6.847999089999998,888,0.2,0.4027777777777778,995.68,-7.72618289788564
228864,298,154,1485,10.829672641224331,0.03719603,0.00025,0.7983602285385132,0.004020618695196592,3.2066049575805664,-3.8079990999999973,891,0.2,0.3441840277777778,995.68,-7.672010587321387
229632,299,154,1490,20.750903613037533,0.022133349,0.00025,0.8247751593589783,0.009430020478450589,6.770064353942871,0.8820008300000013,894,0.2,0.3125,995.46,-7.783364805910322
230400,300,154,1496,20.345147682560814,0.021108774,0.00025,0.8735274076461792,0.0026043600971914,11.097173690795898,6.502000740000002,897,0.2,0.2986111111111111,995.46,-7.706082787778643
231168,301,154,1501,12.8762393395106,0.025229609,0.00025,0.8326101303100586,0.003819180109227697,10.75438117980957,6.708000749999999,900,0.2,0.3567708333333333,995.46,-7.575611491998036
231936,302,154,1505,22.87550198369556,0.047430303,0.00025,0.8939922451972961,0.015584330540150404,16.422880172729492,3.736000789999999,903,0.2,0.3819444444444444,987.34,-7.677919248739879
232704,303,154,1510,19.905200084050495,0.044193428,0.00025,0.8575804233551025,-0.0003298295454846488,8.483738899230957,0.48000085000000015,906,0.2,0.3589409722222222,987.34,-7.640113903416528
233472,304,154,1516,14.880205240514544,0.06598123,0.00025,0.9302994012832642,0.010821665921765897,4.457942962646484,0.167000909999999,909,0.2,0.4162326388888889,983.71,-7.566402998235491
234240,305,154,1520,17.86210384633806,0.036909603,0.00025,0.886637806892395,0.010476476341460107,6.137568950653076,-0.8669990700000014,912,0.2,0.375,978.61,-7.568934486971961
235008,306,154,1525,15.759212500519222,0.045007665,0.00025,0.8678156137466431,0.010711588845070865,4.089028358459473,-2.762999010000001,915,0.2,0.4127604166666667,972.51,-7.6397316455841064
235776,307,154,1530,18.041757689581978,0.037503365,0.00025,0.8950865268707275,0.01488950256154769,11.57402515411377,-2.550999010000001,918,0.2,0.3302951388888889,972.51,-7.866686284542084
236544,308,154,1534,11.50401904185613,0.044465814,0.00025,0.7907891273498535,0.009709615143947303,14.210601806640625,-2.7929990300000007,921,0.2,0.4266493055555556,972.51,-7.746534466743469
237312,309,154,1539,15.233732534779442,0.039143976,0.00025,0.8978838920593262,0.0018043970145906012,7.832367420196533,-2.9409990400000017,924,0.2,0.3541666666666667,972.51,-7.718160231908162
238080,310,154,1544,13.832113789187538,0.037914187,0.00025,0.5628101229667664,0.016638422061482236,4.69334602355957,-3.3949991000000024,927,0.2,0.4253472222222222,981.43,-7.717941747771369
238848,311,154,1549,12.779597289032406,0.024990877,0.00025,0.8905212879180908,0.0025018076153679025,4.342373371124268,-2.6969991300000014,930,0.2,0.2938368055555556,986.41,-7.725907524426778
239616,312,154,1554,12.580960078371895,0.04015838,0.00025,0.84951251745224,0.0035390081789551508,1.7116371393203735,-1.2409991700000034,933,0.2,0.3506944444444444,986.41,-7.6112580630514355
240384,313,154,1559,12.591279907359016,0.037293863,0.00025,0.89602130651474,0.03632572991773486,5.393518447875977,-8.167999180000002,936,0.2,0.3697916666666667,980.92,-7.755530966652764
241152,314,154,1564,13.048991130457985,0.03694378,0.00025,0.9166113138198853,0.013519209240459733,5.355881214141846,-7.308999160000001,939,0.2,0.3888888888888889,982.83,-7.676729228761461
241920,315,154,1569,14.090637081199223,0.044139758,0.00025,0.8795648813247681,0.0095925757001775,5.278562545776367,-7.3689991599999995,942,0.2,0.3880208333333333,982.83,-7.7502583265304565
242688,316,154,1574,13.266286406252119,0.036262773,0.00025,0.7738490700721741,-0.003840018425964647,7.932999610900879,-6.618999140000001,945,0.2,0.3333333333333333,982.83,-7.669613811704847
243456,317,154,1580,14.572360806994968,0.03489469,0.00025,0.8735151290893555,0.013154045394104388,3.958400249481201,-6.356999129999999,948,0.2,0.3415798611111111,982.83,-7.6614816718631324
244224,318,153,1587,14.357006457116869,0.031152591,0.00025,0.7149643898010254,0.0014162412585897578,6.379504680633545,-6.037999110000002,951,0.2,0.3381076388888889,978.32,-7.577242434024811
244992,319,153,1594,19.7982263829973,0.024526177,0.00025,0.8409127593040466,0.0026544610866241986,9.165433883666992,-6.037999110000002,954,0.2,0.3420138888888889,978.32,-7.828627804915111
245760,320,153,1601,16.191682391696506,0.026314005,0.00025,0.7030047178268433,0.0025294953019409957,5.998738765716553,-12.653999150000002,957,0.2,0.3029513888888889,978.32,-7.560251004166073
246528,321,153,1607,13.065140297015509,0.053155035,0.00025,0.8795104622840881,0.03733648817675809,3.5142452716827393,-13.472999139999999,960,0.2,0.4036458333333333,972.51,-7.681753661897448
247296,322,153,1614,11.417577197154364,0.032996442,0.00025,0.8815382122993469,0.009670807566079829,3.135995388031006,-12.302999180000002,963,0.2,0.3511284722222222,972.99,-7.67527123954561
248064,323,152,1621,11.74167228076193,0.038068924,0.00025,0.9176821112632751,0.010663535872784754,8.323164939880371,-12.582999190000002,966,0.2,0.4036458333333333,972.99,-7.707917074362437
248832,324,152,1628,19.418651428487564,0.030157099,0.00025,0.93186354637146,0.0027693778198833265,8.036675453186035,-17.39899934,969,0.2,0.3441840277777778,977.41,-7.7790136734644575
249600,325,152,1634,13.714263899458778,0.076467626,0.00025,0.9569398164749146,0.03387191229396396,4.577786445617676,-17.66299935,972,0.2,0.4292534722222222,977.41,-7.783077054553562
250368,326,152,1641,15.120728883478376,0.052588183,0.00025,0.8083562850952148,0.0023381930594849917,4.98514461517334,-11.51499932,975,0.2,0.3441840277777778,977.41,-7.589363204108344
251136,327,152,1648,12.023682173755434,0.0348234,0.00025,0.8695700764656067,0.014942773022792406,3.002983570098877,-11.490999320000004,978,0.2,0.3541666666666667,977.41,-7.498829219076368
251904,328,152,1655,10.320774263805813,0.029607855,0.00025,0.8249193429946899,0.0006107006791151232,3.780423402786255,0.13300060999999683,981,0.2,0.3415798611111111,977.41,-7.643894069724613
252672,329,152,1661,8.143430772754881,0.039357524,0.00025,0.9389438033103943,0.01797816829316111,3.859947919845581,0.36100060999999767,984,0.2,0.3528645833333333,977.41,-7.628836174805959
253440,330,151,1668,9.326173381672966,0.023785217,0.00025,0.8434193730354309,0.0016904560228188832,3.5589401721954346,0.0790006100000002,987,0.2,0.3328993055555556,977.41,-7.662494824992286
254208,331,151,1675,9.888951228724586,0.033066843,0.00025,0.9330779314041138,0.009662008908991184,5.882333755493164,-0.12899940000000037,990,0.2,0.3467881944444444,977.41,-7.575103627310859
254976,332,151,1681,9.92344390683704,0.03234404,0.00025,0.9020459055900574,-0.006366496155452397,5.909579753875732,-5.4909994399999995,993,0.2,0.3237847222222222,977.63,-7.74782888756858
255744,333,151,1688,11.238023777802786,0.17260903,0.00025,0.9460999965667725,0.04759984282362792,5.907846450805664,-2.5349994700000007,996,0.2,0.3841145833333333,972.27,-7.600838436020745
256512,334,151,1695,8.173042628500196,0.02666155,0.00025,0.8684247732162476,0.014661773812905367,4.656628608703613,0.038000490000001365,999,0.2,0.3272569444444444,972.18,-7.67807043923272
257280,335,151,1701,8.615573343303469,0.02449706,0.00025,0.9272177815437317,0.006733423758608599,8.126163482666016,0.056000490000000555,1002,0.2,0.2981770833333333,972.18,-7.5871379309230385
258048,336,151,1707,15.881212062305874,0.049997706,0.00025,0.9243364334106445,0.008743846763132347,8.420051574707031,-6.42999945,1005,0.2,0.3294270833333333,978.94,-7.658028490013546
258816,337,150,1714,10.164250042703417,0.060411792,0.00025,0.9419565796852112,0.028352356509357277,6.025988578796387,-5.50199947,1008,0.2,0.4405381944444444,978.94,-7.703909556070964
259584,338,150,1721,12.792538199159834,0.072721995,0.00025,0.8467466831207275,0.021356522610100608,7.608994483947754,-3.637999539999999,1011,0.2,0.4296875,985.04,-7.600437978903453
260352,339,150,1727,14.069496956136492,0.024343707,0.00025,0.8988703489303589,0.01389275843070613,12.588348388671875,-3.7819995399999993,1014,0.2,0.4266493055555556,985.04,-7.628417829672496
261120,340,150,1734,12.67020598385069,0.07383199,0.00025,0.9436466097831726,0.04199210970869495,9.363035202026367,-9.503999560000004,1017,0.2,0.3598090277777778,985.04,-7.675872994793786
