time/fps,time/iterations,time/total_timesteps,time/time_elapsed,train/entropy_loss,train/n_updates,train/value_loss,train/approx_kl,train/clip_range,rollout/ep_len_mean,train/explained_variance,train/clip_fraction,train/policy_gradient_loss,train/learning_rate,train/loss,rollout/ep_rew_mean
152,61,46848,308,-7.610050155056848,180,29.49689271714952,0.03653099,0.2,1016.47,0.8903180956840515,0.3728298611111111,0.018949055371599063,0.00025,13.18008804321289,9984.73
152,62,47616,313,-7.686148153411017,183,23.38794125450982,0.026278362,0.2,1016.47,0.5311275720596313,0.3229166666666667,0.007405647891573608,0.00025,12.95671558380127,10018.01
151,63,48384,318,-7.810908330811395,186,24.722393049134148,0.032360997,0.2,1016.47,0.7466595768928528,0.3611111111111111,0.0124347089505237,0.00025,11.571746826171875,10023.73
151,64,49152,323,-7.765936666064793,189,18.906421661376953,0.04062819,0.2,1019.0,0.8442838191986084,0.4040798611111111,0.015951180132105947,0.00025,12.719764709472656,9998.33
151,65,49920,329,-7.919069012006124,192,14.149599797195858,0.030676613,0.2,1019.0,0.8843607306480408,0.3172743055555556,2.8795795515179634e-05,0.00025,11.022354125976562,9978.05
151,66,50688,334,-7.723629335562388,195,14.954976571930779,0.032074954,0.2,1019.0,0.7534563541412354,0.4192708333333333,0.008293230241785446,0.00025,5.707210063934326,9997.01
151,67,51456,339,-7.776133464442359,198,21.55816345744663,0.02350822,0.2,1019.0,0.7710638642311096,0.3046875,0.005435719788591895,0.00025,17.679019927978516,9993.89
151,68,52224,344,-7.685562398698595,201,10.30957786904441,0.031636942,0.2,1019.0,0.8291221857070923,0.4192708333333333,0.007710122600353013,0.00025,6.0394463539123535,10105.95
151,69,52992,350,-7.697431604067485,204,16.539329164557987,0.030646274,0.2,1019.0,0.840021014213562,0.3615451388888889,0.003577273319630573,0.00025,8.32858657836914,10129.87
151,70,53760,355,-7.731267558203803,207,11.728226201401817,0.036452997,0.2,1019.0,0.850284218788147,0.3428819444444444,0.017025931608966656,0.00025,10.366317749023438,10223.71
151,71,54528,360,-7.791398326555888,210,23.571914010577732,0.025183998,0.2,1019.0,0.833139181137085,0.2673611111111111,0.008768153506227665,0.00025,24.27140998840332,10255.67
151,72,55296,365,-7.722369127803379,213,12.282899187670814,0.09945797,0.2,1019.0,0.7976232767105103,0.4735243055555556,0.031669392987775304,0.00025,8.976423263549805,10333.02
151,73,56064,370,-7.822180098957485,216,47.56942579481337,0.026998857,0.2,1019.0,0.6220083236694336,0.3576388888888889,0.003641030848181496,0.00025,36.47842025756836,10418.37
151,74,56832,376,-7.952409558826023,219,18.747202224201626,0.043594133,0.2,1019.0,0.8310859203338623,0.3502604166666667,0.0006678733948825134,0.00025,11.02234935760498,10205.95
150,75,57600,381,-8.023033413622114,222,15.599209858311546,0.026857628,0.2,1019.0,0.8762822151184082,0.3428819444444444,0.012135007961963614,0.00025,14.212246894836426,10166.71
150,76,58368,386,-7.881911052597894,225,14.70460640721851,0.03553529,0.2,1019.0,0.7107083797454834,0.3233506944444444,0.0015708515808607142,0.00025,8.092398643493652,9980.03
150,77,59136,391,-7.760664509402381,228,15.69639934433831,0.015591703,0.2,1019.0,0.7533478736877441,0.2170138888888889,-4.332706642647584e-06,0.00025,6.556539058685303,10010.25
150,78,59904,397,-7.677609887388018,231,12.559306263923645,0.034248635,0.2,1019.0,0.7676683068275452,0.3858506944444444,0.017612900235690176,0.00025,4.210702896118164,10054.71
