time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/clip_fraction,train/policy_gradient_loss,train/clip_range,train/n_updates,train/value_loss,train/approx_kl,train/learning_rate,train/loss,train/explained_variance,train/entropy_loss
1104,196608,177,-61.62807504000001,1343.01,32,0.3453776041666667,0.007954745082921969,0.2,124,22.513419618209202,0.025225693,0.00025,5.97355318069458,0.9316390156745911,-7.722037583589554
1138,202752,178,-47.14133499,1300.74,33,0.367431640625,0.010023936537133219,0.2,128,20.559031426906586,0.04033113,0.00025,6.118478775024414,0.9103051424026489,-7.649160216252009
1173,208896,177,-45.57531003000001,1249.29,34,0.3037923177083333,0.0064238364502671175,0.2,132,38.516566236813865,0.028387493,0.00025,13.711634635925293,0.946776807308197,-7.652584120631218
1208,215040,177,-33.13610502000001,1151.79,35,0.2808430989583333,0.0035682469121335694,0.2,136,35.651997884114586,0.021963581,0.00025,9.107147216796875,0.9392601847648621,-7.601014321049054
1243,221184,177,-37.37494007,1058.5,36,0.2808837890625,-0.0005175465824625766,0.2,140,46.906286338965096,0.017950868,0.00025,20.14725112915039,0.9491128921508789,-7.627238556742668
1273,227328,178,-26.615279979999997,1043.11,37,0.2987467447916667,0.004767430044012144,0.2,144,21.291498114665348,0.02796778,0.00025,6.860482692718506,0.9433990716934204,-7.475968038042386
1308,233472,178,-5.634039899999998,1032.96,38,0.307861328125,0.008116451574702902,0.2,148,16.821354866027832,0.025837684,0.00025,5.22629451751709,0.9590156674385071,-7.616898496945699
1347,239616,177,-6.36943492,1124.05,39,0.3160400390625,0.011630088818492368,0.2,152,35.01024955511093,0.028754001,0.00025,13.241100311279297,0.9199100732803345,-7.484833935896556
1377,245760,178,2.3870200699999975,1200.56,40,0.40673828125,0.007194084382111517,0.2,156,24.501303523778915,0.031128703,0.00025,10.2205810546875,0.9461997747421265,-7.419823780655861
1408,251904,178,-4.675874949999996,1193.89,41,0.3690592447916667,0.009737221106964475,0.2,160,29.393451035022736,0.034188565,0.00025,13.963540077209473,0.9550124406814575,-7.452178339163463
1445,258048,178,-34.768560099999995,1217.97,42,0.3690592447916667,0.007934803667012602,0.2,164,54.729441006978355,0.02478983,0.00025,28.412084579467773,0.9508117437362671,-7.403703942894936
1480,264192,178,-14.428160139999996,1215.92,43,0.3311360677083333,0.001870407036525042,0.2,168,71.46268163124721,0.028315784,0.00025,23.761825561523438,0.9476383328437805,-7.37164343893528
1519,270336,177,-17.99297014,1236.66,44,0.3691813151041667,0.018895195396908093,0.2,172,25.032748530308407,0.04479296,0.00025,9.78857421875,0.9533576965332031,-7.40037218729655
1552,276480,178,-11.887140149999995,1229.17,45,0.4291178385416667,0.02147963196815302,0.2,176,15.135753283898035,0.065084904,0.00025,8.345766067504883,0.9472107291221619,-7.380107675989469
1590,282624,177,7.020910020000002,1211.26,46,0.22550455729166666,0.00012549984967336059,0.2,180,23.247507373491924,0.017019508,0.00025,12.364418983459473,0.9610152840614319,-7.305788482228915
1624,288768,177,2.567415039999999,1262.45,47,0.3557942708333333,0.0043129041805514134,0.2,184,27.955155511697132,0.030634582,0.00025,9.880857467651367,0.9394574165344238,-7.36790909866492
1660,294912,177,14.40151015,1313.72,48,0.4342854817708333,0.007599996713300546,0.2,188,12.471296459436417,0.05790473,0.00025,3.8014957904815674,0.9506272673606873,-7.216379543145497
1693,301056,177,13.506925160000002,1240.86,49,0.4599609375,0.021731635240333464,0.2,192,12.494193156560263,0.05112484,0.00025,6.038136005401611,0.9589203000068665,-7.312238022685051
1728,307200,177,19.094665129999996,1217.51,50,0.3365885416666667,0.0020536304509732872,0.2,196,28.709097385406494,0.028129645,0.00025,11.726677894592285,0.948981761932373,-7.513379022479057
1761,313344,177,12.010205030000003,1282.03,51,0.3717447916666667,0.011876552288110057,0.2,200,21.575930674870808,0.03240094,0.00025,15.53804874420166,0.9634947776794434,-7.471875826517741
1802,319488,177,39.32044499,1227.52,52,0.3250325520833333,0.004349793564567032,0.2,204,13.03153415520986,0.03126422,0.00025,4.005478382110596,0.9623332619667053,-7.5181800574064255
1834,325632,177,51.15279492,1074.35,53,0.3947347005208333,0.00822795307370446,0.2,208,15.076276501019796,0.03297643,0.00025,6.290578842163086,0.956555962562561,-7.437480916579564
1869,331776,177,83.37522005000001,1019.17,54,0.3183186848958333,-0.00026455613745686907,0.2,212,23.858726511398952,0.025905764,0.00025,8.440613746643066,0.9355253577232361,-7.483039513230324
1905,337920,177,88.24006508000001,1007.32,55,0.3180338541666667,-0.0004742379775658871,0.2,216,20.057449589173,0.021427743,0.00025,9.123138427734375,0.9570092558860779,-7.483684356013934
1947,344064,176,93.43961010000002,984.06,56,0.4784342447916667,0.022717895699315704,0.2,220,11.299223278959593,0.074277,0.00025,5.62916374206543,0.9633040428161621,-7.328419968485832
1982,350208,176,108.60871502000002,967.49,57,0.3466389973958333,0.010772151950125894,0.2,224,11.018778771162033,0.055597007,0.00025,3.3228793144226074,0.9633241891860962,-7.4768742968638735
