time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/fps,time/total_timesteps,train/learning_rate,train/n_updates,train/clip_range,train/clip_fraction,train/explained_variance,train/loss,train/approx_kl,train/policy_gradient_loss,train/entropy_loss,train/value_loss
1673,1238.34,384.86009928000004,57,209,350208,0.00025,224,0.2,0.2625325520833333,0.9535296559333801,16.657798767089844,0.023208037,0.0034241959001519717,-7.604122077425321,36.54629631837209
1699,1292.65,340.43149919999996,58,209,356352,0.00025,228,0.2,0.2825113932291667,0.9563084840774536,5.915266990661621,0.027873935,0.00583785895529824,-7.591512193282445,14.821618869900703
1726,1209.18,441.45064940000003,59,209,362496,0.00025,232,0.2,0.3474934895833333,0.9389164447784424,9.232099533081055,0.026910996,0.006315679907856975,-7.536188234885533,24.518326183160145
1752,1162.86,464.1471993299999,60,210,368640,0.00025,236,0.2,0.3348795572916667,0.9555342197418213,4.897450923919678,0.038613666,0.008051883885248875,-7.602446456750234,19.13216910759608
1774,1215.27,470.34999948999996,61,211,374784,0.00025,240,0.2,0.3435872395833333,0.9693065285682678,5.207796096801758,0.021422623,0.011159150594418557,-7.602964207530022,15.636465872327486
1800,1171.86,564.97154952,62,211,380928,0.00025,244,0.2,0.3964436848958333,0.9555442333221436,4.735097885131836,0.03813423,0.011334943473533107,-7.564802239338557,11.04594731827577
1824,1099.62,625.44654951,63,212,387072,0.00025,248,0.2,0.4044596354166667,0.9667116403579712,2.4496424198150635,0.036703244,0.014406010561894314,-7.648439879218738,9.138551652431488
1849,1030.37,696.27174951,64,212,393216,0.00025,252,0.2,0.326171875,0.9687651991844177,5.072251319885254,0.027332382,0.008399696268800957,-7.5729076862335205,12.851138984163603
1873,969.12,737.2320494699999,65,213,399360,0.00025,256,0.2,0.4312337239583333,0.9670512080192566,3.6546380519866943,0.07225739,0.028236481348964542,-7.570479030410449,9.34920231004556
1901,911.06,743.5239495799999,66,213,405504,0.00025,260,0.2,0.37353515625,0.980601966381073,3.4376540184020996,0.037547257,0.012510502077930141,-7.607602437337239,7.855853244662285
1933,894.44,743.2485496700001,67,212,411648,0.00025,264,0.2,0.36572265625,0.9785531759262085,2.869657039642334,0.04124828,0.011311154356614376,-7.241849929094315,9.2799321860075
1967,901.12,738.5670997000001,68,212,417792,0.00025,268,0.2,0.4779866536458333,0.977211594581604,4.579494476318359,0.059096258,0.025211854493439507,-7.600105658173561,8.502450853586197
1999,896.0,745.72614979,69,212,423936,0.00025,272,0.2,0.3492431640625,0.9577253460884094,3.777531147003174,0.036948342,0.009118886305562532,-7.451470245917638,11.623886744181315
2026,940.49,730.4043996999999,70,212,430080,0.00025,276,0.2,0.33740234375,0.9487866163253784,6.233982086181641,0.021577671,0.005617207347919854,-7.512145524223645,14.608881404002508
2050,1009.42,708.81214967,71,212,436224,0.00025,280,0.2,0.3203125,0.9713009595870972,7.387273788452148,0.024419298,0.005495999508032885,-7.496042266488075,14.023171623547872
2074,1064.01,703.26799965,72,213,442368,0.00025,284,0.2,0.4165445963541667,0.9668939113616943,3.477372407913208,0.022821298,0.011668481381396608,-7.469811052083969,9.426174427072207
2099,1152.04,647.0015995900001,73,213,448512,0.00025,288,0.2,0.37939453125,0.9845637083053589,1.9426777362823486,0.062276896,0.012895563083778446,-7.385067666570346,8.131755605340004
2125,1195.86,598.8414995,74,213,454656,0.00025,292,0.2,0.4309895833333333,0.9780275821685791,2.7481000423431396,0.022792675,0.018697732467747603,-7.397404606143634,8.053133601943651
2150,1214.06,593.3168994900001,75,214,460800,0.00025,296,0.2,0.2794189453125,0.9680482149124146,4.6061835289001465,0.025032764,0.005359933585471784,-7.559414128462474,12.475769882400831
