time/time_elapsed,time/iterations,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/value_loss,train/learning_rate,train/clip_fraction,train/clip_range,train/n_updates,train/explained_variance,train/loss,train/entropy_loss,train/policy_gradient_loss,train/approx_kl
1993,62,380928,1603.23,-1404.9285450700004,191,3.7202438736955323,0.00025,0.18672688802083334,0.2,244,0.9920991063117981,1.2767531871795654,-7.04592331747214,0.004312891918137514,0.012418461
2026,63,387072,1622.0,-1449.90850004,191,3.4485950469970703,0.00025,0.30078125,0.2,248,0.9936597347259521,1.1621990203857422,-7.0149445335070295,0.014273179728964655,0.015091154
2058,64,393216,1622.0,-1436.8235000400005,191,2.2040205585459867,0.00025,0.4086507161458333,0.2,252,0.9959090948104858,0.6010139584541321,-7.077555189530055,0.024279512494103983,0.028523905
2091,65,399360,1613.74,-1432.80644706,190,2.5082844446102777,0.00025,0.5553385416666666,0.2,256,0.9951141476631165,0.9450809955596924,-6.939350793759028,0.06627864556624748,0.16306944
2123,66,405504,1596.33,-1398.6396839999998,190,12.203815973053375,0.00025,0.5556640625,0.2,260,0.9763244986534119,2.8855602741241455,-7.0389535675446195,0.052542515040840954,0.2830383
2155,67,411648,1596.33,-1400.2796840199999,190,20.49543962130944,0.00025,0.513916015625,0.2,264,0.9604490995407104,4.885054111480713,-6.763687372207642,0.03313104892731644,0.13606255
2187,68,417792,1566.85,-1376.11822107,190,4.225411833574374,0.00025,0.4381917317708333,0.2,268,0.9938966631889343,1.044981837272644,-6.765522345900536,0.03006434788403567,0.013872248
2219,69,423936,1549.05,-1355.0165351300002,190,26.833375225464504,0.00025,0.4085286458333333,0.2,272,0.9302173256874084,2.3501780033111572,-6.658993378281593,0.018028411441870656,0.04249401
2250,70,430080,1540.8,-1347.00521008,191,19.234981109698612,0.00025,0.364990234375,0.2,276,0.9582997560501099,5.048647403717041,-6.7289880613485975,0.017662623421832297,0.018874101
2281,71,436224,1530.79,-1325.42441209,191,12.854438136021296,0.00025,0.3767496744791667,0.2,280,0.9723377823829651,3.15118670463562,-6.706763366858165,0.018773865025044262,0.036587898
2314,72,442368,1529.78,-1328.79446909,191,22.204401597380638,0.00025,0.2821858723958333,0.2,284,0.9486474990844727,4.307544231414795,-6.665977880358696,0.00938854420868059,0.015912972
2345,73,448512,1495.51,-1286.0861849600003,191,14.498198313017687,0.00025,0.3626708984375,0.2,288,0.9718024134635925,4.736487865447998,-6.651406730214755,0.017395604752285482,0.0463026
2377,74,454656,1509.32,-1305.7794058900001,191,33.622142185767494,0.00025,0.3799641927083333,0.2,292,0.9166395664215088,18.180110931396484,-6.67889525492986,0.014314112850115635,0.026153525
2409,75,460800,1542.79,-1350.7043339,191,5.108203895390034,0.00025,0.3197021484375,0.2,296,0.9847880005836487,1.5296913385391235,-6.747111390034358,0.014926898792812912,0.01675426
2442,76,466944,1544.81,-1352.2268929300003,191,3.6267566084861755,0.00025,0.3127034505208333,0.2,300,0.9908965229988098,1.9723773002624512,-6.765252600113551,0.013327816823827257,0.01848338
2474,77,473088,1549.61,-1364.69568193,191,10.082757450640202,0.00025,0.2736409505208333,0.2,304,0.976014256477356,6.852512836456299,-6.765096470713615,0.010997721416060813,0.016686924
2506,78,479232,1551.18,-1378.2505449300004,191,8.629977186520895,0.00025,0.4262288411458333,0.2,308,0.9812019467353821,1.6783891916275024,-6.677591770887375,0.019635014733163796,0.028959835
2537,79,485376,1576.3,-1409.1271030100004,191,6.541225927571456,0.00025,0.3387858072916667,0.2,312,0.982620894908905,2.207707166671753,-6.577377989888191,0.01565655004136109,0.030029232
2569,80,491520,1575.07,-1406.1758680699998,191,17.73164191842079,0.00025,0.2905680338541667,0.2,316,0.953292965888977,3.4683711528778076,-6.651702508330345,0.010395682317418201,0.027199708
2601,81,497664,1565.59,-1385.06750204,191,7.626381355027358,0.00025,0.267578125,0.2,320,0.9808759689331055,4.026787281036377,-6.645968869328499,0.008825288216030458,0.016171984
2634,82,503808,1543.38,-1353.8828110200004,191,10.390846160550913,0.00025,0.436279296875,0.2,324,0.9720250964164734,1.9556670188903809,-6.580308213829994,0.026558762775190797,0.07936273
2663,83,509952,1536.92,-1346.75280198,191,17.701560298601787,0.00025,0.398193359375,0.2,328,0.9470996856689453,8.26706600189209,-6.399692212541898,0.015164666542356523,0.034825373
2695,84,516096,1535.22,-1331.7978770099999,191,16.15689313908418,0.00025,0.4000651041666667,0.2,332,0.9591207504272461,3.4843742847442627,-6.501715828975041,0.01788994711993534,0.034643807
2728,85,522240,1557.32,-1359.9511490200002,191,9.487998108069101,0.00025,0.3509521484375,0.2,336,0.9731451869010925,1.9653427600860596,-6.288862983385722,0.015321238485436576,0.029308205
2760,86,528384,1537.17,-1334.3499610400002,191,3.8275345861911774,0.00025,0.4220377604166667,0.2,340,0.9881887435913086,1.3585659265518188,-6.426660304268201,0.029834109537963133,0.061913464
2793,87,534528,1530.26,-1325.67523302,191,21.385047495365143,0.00025,0.2818603515625,0.2,344,0.9339293241500854,12.085517883300781,-6.145909458398819,0.005988019745321556,0.016714735
2825,88,540672,1554.45,-1350.25441504,191,8.933258436620235,0.00025,0.3560791015625,0.2,348,0.9776416420936584,1.926964521408081,-6.1060357838869095,0.01883797214880663,0.098014414
2859,89,546816,1542.31,-1325.9203771100003,191,3.4898349133630595,0.00025,0.418701171875,0.2,352,0.9919571876525879,1.3746720552444458,-6.123241598407428,0.02667389521957375,0.04328845
2894,90,552960,1545.15,-1327.0312392,191,21.466044267018635,0.00025,0.3860270182291667,0.2,356,0.9363991618156433,11.861551284790039,-5.8959425787130995,0.014461518279858865,0.073491946
2930,91,559104,1553.01,-1330.9433922399999,190,8.511391329268614,0.00025,0.4513753255208333,0.2,360,0.974575936794281,1.6394611597061157,-5.872793694337209,0.025458197900055286,0.032375727
2969,92,565248,1565.08,-1339.4771283299997,190,3.647094334165255,0.00025,0.277099609375,0.2,364,0.9923244714736938,1.5520869493484497,-5.932785759369533,0.009227771872247104,0.01308643
