time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/entropy_loss,train/approx_kl,train/learning_rate,rollout/ep_len_mean,train/value_loss,train/loss,train/n_updates,train/clip_fraction,train/policy_gradient_loss,train/clip_range,rollout/ep_rew_mean,train/explained_variance
225024,293,1377,163,-7.753262572818333,0.038517628,0.00025,1019.0,15.803917970922258,5.059868812561035,876,0.4288194444444444,0.01848499267362058,0.2,-19560.85,0.8506511449813843
225792,294,1381,163,-7.890185031625959,0.06090772,0.00025,1019.0,6.125429951482349,1.0197510719299316,879,0.4665798611111111,0.025660134884270117,0.2,-19560.85,0.9649643301963806
226560,295,1388,163,-7.815009163485633,0.020472731,0.00025,1019.0,20.993183341291214,7.510016441345215,882,0.3884548611111111,0.01796865503355447,0.2,-19691.25,0.8886158466339111
227328,296,1393,163,-8.003722535239326,0.065686256,0.00025,1019.0,6.243948645061916,2.323267936706543,885,0.4370659722222222,0.02266848917740087,0.2,-19691.25,0.9516000747680664
228096,297,1397,163,-7.827257566981846,0.02886597,0.00025,1019.0,16.496332387129467,6.127065181732178,888,0.3151041666666667,0.013105962283184959,0.2,-19810.14,0.9172951579093933
228864,298,1401,163,-8.025109357304043,0.08138889,0.00025,1019.0,6.123650299178229,2.378904342651367,891,0.42578125,0.021140945208672848,0.2,-19810.14,0.9632149338722229
229632,299,1405,163,-7.795608202616374,0.02242054,0.00025,1019.0,17.793403731452095,7.299247741699219,894,0.3532986111111111,0.013317019562236965,0.2,-19881.69,0.897028923034668
230400,300,1410,163,-7.962185475561354,0.06305105,0.00025,1019.0,5.459097953306304,1.6262708902359009,897,0.4144965277777778,0.027536145851223007,0.2,-19881.69,0.9693951606750488
231168,301,1414,163,-7.938133809301588,0.026740154,0.00025,1019.0,20.422496755917866,11.736411094665527,900,0.3515625,-0.000683227353470607,0.2,-20154.57,0.9081687927246094
231936,302,1421,163,-8.03351526790195,0.054780636,0.00025,1019.0,6.182342636916372,2.4186506271362305,903,0.4361979166666667,0.030306870738665264,0.2,-20154.57,0.9565669298171997
232704,303,1426,163,-7.999634636773004,0.026380712,0.00025,1019.0,15.15696238146888,8.977038383483887,906,0.375,0.009147857302903302,0.2,-20313.43,0.9127402901649475
233472,304,1430,163,-8.016663200325436,0.04725519,0.00025,1019.0,6.018687821096844,2.461514472961426,909,0.3528645833333333,0.022126097969400387,0.2,-20313.43,0.9673662185668945
234240,305,1434,163,-7.914670348167419,0.03394534,0.00025,1019.0,14.29147501124276,11.584027290344238,912,0.3472222222222222,0.011886557266633544,0.2,-20364.88,0.9198867082595825
235008,306,1438,163,-7.92936192618476,0.06148815,0.00025,1019.0,5.156354500187768,1.636124849319458,915,0.4001736111111111,0.020477446287663445,0.2,-20364.88,0.9700576066970825
235776,307,1443,163,-7.7426252365112305,0.02827877,0.00025,1019.0,19.994526399506462,5.008056640625,918,0.4066840277777778,0.021248818129404552,0.2,-20468.06,0.8610367178916931
