,x_position,y_position,checkpoints,surfaces,speed
745,3712,2288,29,64,0
746,3712,2288,29,64,0
747,3712,2288,29,64,0
748,3712,2288,29,64,0
749,3712,2288,29,64,0
750,3712,2287,29,64,8
751,3712,2287,29,64,16
752,3711,2286,29,64,24
753,3711,2284,29,64,32
754,3711,2282,29,64,40
755,3711,2279,29,64,48
756,3711,2276,29,64,56
757,3711,2272,29,64,64
758,3710,2268,29,64,88
759,3710,2262,29,64,112
760,3709,2255,29,64,134
761,3707,2246,29,64,150
762,3706,2236,0,64,166
763,3704,2226,0,64,158
764,3702,2217,0,64,142
765,3700,2209,0,64,126
766,3699,2201,0,64,110
767,3698,2195,0,64,94
768,3697,2189,0,64,78
769,3697,2185,0,64,62
770,3697,2181,0,64,46
771,3696,2179,0,64,30
772,3696,2178,0,64,14
773,3696,2177,0,64,16
774,3696,2176,0,64,24
775,3696,2174,0,64,32
776,3696,2172,0,64,40
777,3696,2169,0,64,48
778,3696,2166,0,64,56
779,3696,2163,0,64,64
780,3695,2158,0,64,88
781,3695,2152,0,64,112
782,3695,2145,0,64,134
783,3695,2136,0,64,150
784,3694,2126,0,64,166
785,3694,2116,0,64,158
786,3693,2107,0,64,142
787,3693,2098,0,64,126
788,3693,2091,0,64,110
789,3693,2084,0,64,124
790,3692,2076,0,64,142
791,3692,2066,0,64,158
792,3692,2056,0,64,174
793,3691,2045,0,64,190
794,3691,2033,0,64,218
795,3691,2018,0,64,250
796,3691,2002,0,64,294
797,3691,1982,0,64,342
798,3691,1960,0,64,390
799,3690,1935,0,64,438
800,3690,1906,0,64,474
801,3690,1877,0,64,464
802,3689,1848,1,64,440
803,3689,1821,1,64,416
804,3688,1796,1,64,392
805,3687,1772,1,64,368
806,3684,1750,1,64,344
807,3680,1730,1,64,320
808,3673,1711,1,64,296
809,3665,1695,1,64,272
810,3655,1681,1,64,302
811,3642,1666,1,64,350
812,3624,1652,1,64,398
813,3603,1638,1,64,392
814,3581,1628,1,64,368
815,3559,1622,1,64,344
816,3539,1617,1,64,320
817,3520,1614,1,64,296
818,3502,1612,1,64,272
819,3486,1610,1,64,250
820,3471,1607,1,64,234
821,3457,1603,1,64,218
822,3444,1599,2,64,202
823,3433,1594,2,64,186
824,3423,1588,2,64,170
825,3416,1581,2,64,154
826,3409,1575,2,64,138
827,3405,1568,2,64,122
828,3401,1562,2,64,106
829,3397,1557,2,64,90
830,3394,1552,2,64,74
831,3391,1549,2,64,88
832,3387,1544,2,64,112
833,3382,1538,2,64,134
834,3377,1532,2,64,150
835,3370,1525,2,64,166
836,3362,1517,2,64,182
837,3353,1510,2,64,202
838,3342,1503,2,64,234
839,3328,1496,2,64,270
840,3311,1491,2,64,264
841,3296,1488,2,64,243
842,3281,1485,2,64,227
843,3267,1483,2,64,211
844,3255,1481,3,64,195
845,3243,1479,3,64,179
846,3232,1477,3,64,163
847,3223,1474,3,64,147
848,3215,1470,3,64,131
849,3208,1466,3,64,115
850,3203,1462,3,64,99
851,3198,1459,3,64,83
852,3194,1456,3,64,67
853,3191,1454,3,64,51
854,3189,1452,3,64,35
855,3187,1451,3,64,37
856,3185,1450,3,64,27
857,3184,1449,3,64,11
858,3184,1449,3,64,0
859,3184,1449,3,64,0
860,3184,1449,3,64,0
861,3184,1449,3,64,0
862,3184,1449,3,64,0
863,3184,1449,3,64,0
864,3184,1449,3,64,0
865,3184,1449,3,64,0
866,3184,1449,3,64,0
867,3184,1449,3,64,0
868,3184,1449,3,64,0
869,3184,1449,3,64,0
870,3184,1449,3,64,0
871,3184,1449,3,64,0
872,3184,1449,3,64,0
873,3184,1449,3,64,0
874,3184,1449,3,64,0
875,3184,1449,3,64,0
876,3184,1449,3,64,0
877,3184,1449,3,64,0
878,3184,1449,3,64,0
879,3184,1449,3,64,0
880,3184,1449,3,64,0
881,3184,1449,3,64,0
882,3184,1449,3,64,6
883,3183,1448,3,64,14
884,3183,1448,3,64,4
885,3183,1448,3,64,0
886,3182,1448,3,64,6
887,3182,1448,3,64,14
888,3181,1447,3,64,22
889,3180,1446,3,64,30
890,3178,1445,3,64,38
891,3176,1443,3,64,46
892,3174,1441,3,64,54
893,3171,1439,3,64,62
894,3167,1437,3,64,82
895,3163,1433,3,64,106
896,3157,1429,3,64,130
897,3151,1423,3,64,146
898,3143,1418,3,64,162
899,3135,1411,3,64,178
900,3126,1404,3,64,194
901,3116,1396,3,64,226
902,3104,1387,3,64,222
903,3093,1379,3,64,242
904,3081,1369,3,64,282
905,3066,1357,3,64,330
906,3049,1344,3,64,378
907,3029,1329,3,64,426
908,3008,1312,3,64,420
909,2989,1295,3,64,396
910,2972,1278,3,64,369
911,2958,1261,3,64,341
912,2946,1243,3,64,370
913,2935,1221,3,64,418
914,2925,1196,3,64,462
915,2916,1167,3,64,494
916,2907,1137,3,64,526
917,2898,1105,3,64,558
918,2888,1071,3,64,586
919,2879,1044,4,64,578
920,3712,2288,29,64,0
921,3712,2288,29,64,0
922,3712,2288,29,64,0
923,3712,2288,29,64,0
924,3712,2288,29,64,0
925,3712,2288,29,64,0
926,3712,2288,29,64,0
927,3712,2288,29,64,0
928,3712,2288,29,64,0
929,3712,2288,29,64,0
930,3712,2288,29,64,0
931,3712,2288,29,64,0
932,3712,2288,29,64,0
933,3712,2288,29,64,0
934,3712,2287,29,64,8
935,3712,2287,29,64,16
936,3711,2286,29,64,24
937,3711,2284,29,64,32
938,3711,2282,29,64,40
939,3711,2279,29,64,48
940,3711,2276,29,64,56
941,3711,2272,29,64,64
942,3710,2268,29,64,88
943,3710,2262,29,64,112
944,3709,2255,29,64,134
945,3707,2246,29,64,150
946,3706,2236,0,64,166
947,3704,2226,0,64,158
948,3702,2217,0,64,142
949,3700,2209,0,64,126
950,3699,2201,0,64,110
951,3698,2195,0,64,94
952,3697,2189,0,64,78
953,3697,2185,0,64,62
954,3697,2181,0,64,46
955,3696,2179,0,64,30
956,3696,2178,0,64,14
957,3696,2177,0,64,16
958,3696,2176,0,64,24
959,3696,2174,0,64,32
960,3696,2172,0,64,40
961,3696,2169,0,64,48
962,3696,2166,0,64,56
963,3696,2163,0,64,64
964,3695,2158,0,64,88
965,3695,2152,0,64,112
966,3695,2145,0,64,134
967,3695,2136,0,64,150
968,3694,2126,0,64,166
969,3694,2116,0,64,158
970,3693,2107,0,64,142
971,3693,2098,0,64,126
972,3693,2091,0,64,110
973,3693,2084,0,64,124
974,3692,2076,0,64,142
975,3692,2066,0,64,158
976,3692,2056,0,64,174
977,3691,2045,0,64,190
978,3691,2033,0,64,218
979,3691,2018,0,64,250
980,3691,2002,0,64,294
981,3691,1982,0,64,342
982,3691,1960,0,64,390
983,3690,1935,0,64,438
984,3690,1906,0,64,474
985,3690,1877,0,64,464
986,3689,1848,1,64,440
987,3689,1821,1,64,416
988,3688,1796,1,64,392
989,3687,1772,1,64,368
990,3684,1750,1,64,344
991,3680,1730,1,64,320
992,3673,1711,1,64,296
993,3665,1695,1,64,272
994,3655,1681,1,64,302
995,3642,1666,1,64,350
996,3624,1652,1,64,398
997,3603,1638,1,64,392
998,3581,1628,1,64,368
999,3559,1622,1,64,344
