,x_position,y_position
142,3711,2272
143,3710,2268
144,3710,2262
145,3709,2254
146,3708,2246
147,3707,2236
148,3706,2225
149,3704,2214
150,3703,2201
151,3701,2185
152,3699,2167
153,3697,2147
154,3694,2123
155,3689,2096
156,3682,2068
157,3673,2038
158,3664,2006
159,3654,1972
160,3644,1936
161,3634,1900
162,3622,1863
163,3610,1825
164,3595,1788
165,3578,1751
166,3557,1715
167,3532,1681
168,3503,1650
169,3470,1623
170,3435,1597
171,3397,1574
172,3359,1552
173,3319,1531
174,3280,1510
175,3259,1499
176,3712,2288
177,3712,2288
178,3712,2288
179,3712,2287
180,3712,2287
181,3711,2286
182,3711,2284
183,3711,2282
184,3711,2279
185,3711,2276
186,3711,2272
187,3710,2268
188,3710,2262
189,3709,2254
190,3708,2246
191,3707,2236
192,3706,2225
193,3704,2214
194,3703,2201
195,3701,2185
196,3699,2167
197,3697,2147
198,3693,2123
199,3688,2096
200,3680,2068
201,3671,2038
202,3661,2006
203,3650,1973
204,3639,1938
205,3628,1902
206,3615,1865
207,3602,1828
208,3586,1790
209,3567,1754
210,3545,1719
211,3519,1686
212,3489,1656
213,3456,1629
214,3420,1605
215,3382,1583
216,3342,1562
217,3302,1542
218,3262,1522
219,3712,2288
220,3712,2288
221,3712,2288
222,3712,2287
223,3712,2287
224,3711,2286
225,3711,2284
226,3711,2282
227,3711,2279
228,3711,2276
229,3711,2272
230,3710,2268
231,3710,2262
232,3709,2254
233,3708,2246
234,3707,2236
235,3706,2225
236,3704,2214
237,3703,2201
238,3701,2185
239,3699,2167
240,3697,2147
241,3693,2123
242,3688,2096
243,3681,2068
244,3672,2038
245,3663,2006
246,3653,1972
247,3643,1937
248,3632,1900
249,3621,1863
250,3609,1826
251,3594,1788
252,3577,1751
253,3556,1715
254,3531,1682
255,3501,1651
256,3469,1623
257,3433,1598
258,3396,1574
259,3358,1553
260,3318,1531
261,3278,1510
262,3258,1499
263,3712,2288
264,3712,2288
265,3712,2288
266,3712,2287
267,3712,2287
268,3711,2286
269,3711,2284
270,3711,2282
271,3711,2279
272,3711,2276
273,3711,2272
274,3710,2268
275,3710,2262
276,3709,2254
277,3708,2246
278,3707,2236
279,3706,2225
280,3704,2214
281,3703,2201
282,3701,2185
283,3699,2167
284,3697,2147
285,3694,2123
286,3689,2096
287,3682,2068
288,3674,2037
289,3666,2005
290,3657,1971
291,3648,1935
292,3638,1899
293,3627,1862
294,3613,1824
295,3597,1787
296,3577,1752
297,3553,1718
298,3526,1687
299,3494,1658
300,3460,1632
301,3424,1608
302,3386,1586
303,3347,1563
304,3309,1541
305,3269,1519
306,3260,1513
307,3712,2288
308,3712,2288
309,3712,2288
310,3712,2287
311,3712,2287
312,3711,2286
313,3711,2284
314,3711,2282
315,3711,2279
316,3711,2276
317,3711,2272
318,3710,2268
319,3710,2262
320,3709,2254
321,3708,2246
322,3707,2236
323,3706,2225
324,3704,2214
325,3703,2201
326,3701,2185
327,3699,2167
328,3697,2147
329,3693,2123
330,3688,2096
331,3681,2068
332,3672,2038
333,3663,2006
334,3653,1972
335,3643,1937
336,3633,1900
337,3622,1863
338,3609,1825
339,3595,1787
340,3578,1750
341,3558,1714
342,3534,1680
343,3506,1648
344,3474,1620
345,3438,1595
346,3400,1573
347,3360,1553
348,3319,1536
349,3277,1519
350,3256,1511
351,3712,2288
352,3712,2288
353,3712,2288
354,3712,2287
355,3712,2287
356,3711,2286
357,3711,2284
358,3711,2282
359,3711,2279
360,3711,2276
361,3711,2272
362,3710,2268
363,3710,2262
364,3709,2254
365,3708,2246
366,3707,2236
367,3706,2225
368,3704,2214
369,3703,2201
370,3701,2185
371,3699,2167
372,3697,2147
373,3693,2123
374,3688,2096
375,3681,2068
376,3672,2038
377,3663,2006
378,3653,1972
379,3643,1937
380,3632,1900
381,3621,1863
382,3609,1826
383,3594,1788
384,3577,1751
385,3556,1715
386,3531,1682
387,3501,1651
388,3469,1623
389,3433,1598
390,3396,1574
391,3358,1553
392,3318,1531
393,3278,1510
394,3258,1499
395,3712,2288
396,3712,2288
397,3712,2288
398,3712,2287
399,3712,2287
400,3711,2286
401,3711,2284
402,3711,2282
403,3711,2279
404,3711,2276
405,3711,2272
406,3710,2268
407,3710,2262
408,3709,2254
409,3708,2246
410,3707,2236
411,3705,2226
412,3704,2214
413,3703,2201
414,3701,2185
415,3699,2168
416,3696,2147
417,3692,2123
418,3687,2097
419,3680,2068
420,3671,2038
421,3661,2006
422,3651,1972
423,3641,1937
424,3630,1901
425,3619,1864
426,3607,1826
427,3592,1788
428,3575,1751
429,3555,1715
430,3531,1681
431,3502,1649
432,3470,1621
433,3435,1596
434,3397,1574
435,3357,1554
436,3316,1536
437,3275,1518
438,3254,1510
439,3712,2288
440,3712,2288
441,3712,2288
442,3712,2287
443,3712,2287
444,3711,2286
445,3711,2284
446,3711,2282
447,3711,2279
448,3711,2276
449,3711,2272
450,3710,2268
451,3710,2262
452,3709,2254
453,3708,2246
454,3707,2236
455,3706,2225
456,3704,2214
457,3703,2201
458,3701,2185
459,3699,2167
460,3697,2147
461,3693,2123
462,3688,2096
463,3680,2068
464,3671,2038
465,3661,2006
466,3650,1973
467,3639,1938
468,3628,1902
469,3615,1865
470,3602,1828
471,3587,1790
472,3569,1753
473,3548,1718
474,3523,1684
475,3494,1653
476,3461,1626
477,3425,1601
478,3387,1578
479,3348,1557
480,3309,1537
481,3268,1517
482,3258,1512
483,3712,2288
484,3712,2288
485,3712,2288
486,3712,2287
487,3712,2287
488,3711,2286
489,3711,2284
490,3711,2282
491,3711,2279
492,3711,2276
493,3711,2272
494,3710,2268
495,3710,2262
496,3709,2254
497,3708,2246
498,3707,2236
499,3706,2225
500,3704,2214
501,3703,2201
502,3701,2185
503,3699,2167
504,3697,2147
505,3693,2123
506,3688,2096
507,3681,2068
508,3672,2038
509,3663,2006
510,3653,1972
511,3643,1937
512,3633,1900
513,3622,1863
514,3609,1825
515,3595,1787
516,3578,1750
517,3558,1714
518,3534,1680
519,3506,1648
520,3474,1620
521,3438,1595
522,3400,1573
523,3360,1553
524,3319,1536
525,3277,1519
526,3256,1511
527,3712,2288
528,3712,2288
529,3712,2288
530,3712,2287
531,3712,2287
532,3711,2286
533,3711,2284
534,3711,2282
535,3711,2279
536,3711,2276
537,3711,2272
538,3710,2268
539,3710,2262
540,3709,2254
541,3708,2246
542,3707,2236
543,3706,2225
544,3704,2214
545,3703,2201
546,3701,2185
547,3699,2167
548,3697,2147
549,3693,2123
550,3688,2096
551,3681,2068
552,3672,2038
553,3663,2006
554,3653,1972
555,3643,1937
556,3633,1900
557,3622,1863
558,3609,1825
559,3595,1787
560,3578,1750
561,3558,1714
562,3534,1680
563,3506,1648
564,3474,1619
565,3439,1594
566,3401,1572
567,3361,1552
568,3320,1534
569,3279,1516
570,3258,1507
571,3712,2288
572,3712,2288
573,3712,2288
574,3712,2287
575,3712,2287
576,3711,2286
577,3711,2284
578,3711,2282
579,3711,2279
580,3711,2276
581,3711,2272
582,3710,2268
583,3710,2262
584,3709,2254
585,3708,2246
586,3707,2236
587,3705,2226
588,3704,2214
589,3703,2201
590,3701,2185
591,3699,2168
592,3696,2147
593,3692,2123
594,3687,2097
595,3680,2068
596,3671,2038
597,3661,2006
598,3651,1972
599,3641,1937
600,3630,1901
601,3619,1864
602,3606,1826
603,3591,1789
604,3574,1752
605,3552,1716
606,3527,1683
607,3498,1652
608,3465,1624
609,3430,1599
610,3392,1576
611,3353,1555
612,3314,1534
613,3274,1513
614,3254,1502
615,3712,2288
616,3712,2288
617,3712,2288
618,3712,2287
619,3712,2287
620,3711,2286
621,3711,2284
622,3711,2282
623,3711,2279
624,3711,2276
625,3711,2272
626,3710,2268
627,3710,2262
628,3709,2254
629,3708,2246
630,3707,2236
631,3706,2225
632,3704,2214
633,3703,2201
634,3701,2185
635,3699,2167
636,3697,2147
637,3693,2123
638,3688,2096
639,3680,2068
640,3671,2038
641,3661,2006
642,3650,1973
643,3639,1938
644,3628,1902
645,3615,1865
646,3602,1828
647,3586,1790
648,3567,1754
649,3545,1719
650,3519,1686
651,3489,1656
652,3456,1629
653,3420,1605
654,3382,1583
655,3342,1562
656,3302,1542
657,3262,1522
658,3712,2288
659,3712,2288
660,3712,2288
661,3712,2287
662,3712,2287
663,3711,2286
664,3711,2284
665,3711,2282
666,3711,2279
667,3711,2276
668,3711,2272
669,3710,2268
670,3710,2262
671,3709,2254
672,3708,2246
673,3707,2236
674,3706,2225
675,3704,2214
676,3703,2201
677,3701,2185
678,3699,2167
679,3697,2147
680,3693,2123
681,3688,2096
682,3681,2068
683,3672,2038
684,3663,2006
685,3653,1972
686,3643,1937
687,3632,1900
688,3621,1863
689,3609,1826
690,3594,1788
691,3577,1751
692,3556,1715
693,3531,1682
694,3501,1651
695,3469,1623
696,3433,1598
697,3395,1575
698,3356,1554
699,3316,1534
700,3276,1514
701,3256,1504
702,3712,2288
703,3712,2288
704,3712,2288
705,3712,2287
706,3712,2287
707,3711,2286
708,3711,2284
709,3711,2282
710,3711,2279
711,3711,2276
712,3711,2272
713,3710,2268
714,3710,2262
715,3709,2254
716,3708,2246
717,3707,2236
718,3706,2225
719,3704,2214
720,3703,2201
721,3701,2185
722,3699,2167
723,3697,2147
724,3693,2123
725,3688,2096
726,3681,2068
727,3672,2038
728,3663,2006
729,3653,1972
730,3643,1937
731,3633,1900
732,3622,1863
733,3609,1825
734,3595,1787
735,3578,1750
736,3558,1714
737,3534,1680
738,3506,1648
739,3474,1619
740,3439,1594
741,3401,1572
742,3361,1552
743,3320,1534
744,3279,1516
745,3258,1507
746,3712,2288
747,3712,2288
748,3712,2288
749,3712,2287
750,3712,2287
751,3711,2286
752,3711,2284
753,3711,2282
754,3711,2279
755,3711,2276
756,3711,2272
757,3710,2268
758,3710,2262
759,3709,2254
760,3708,2246
761,3707,2236
762,3706,2225
763,3704,2214
764,3703,2201
765,3701,2185
766,3699,2167
767,3697,2147
768,3693,2123
769,3688,2096
770,3681,2068
771,3672,2038
772,3663,2006
773,3653,1972
774,3643,1937
775,3632,1900
776,3621,1863
777,3609,1826
778,3594,1788
779,3577,1751
780,3556,1715
781,3531,1682
782,3501,1651
783,3469,1623
784,3433,1598
785,3396,1574
786,3358,1553
787,3318,1531
788,3278,1510
789,3258,1499
790,3712,2288
791,3712,2288
792,3712,2288
793,3712,2287
794,3712,2287
795,3711,2286
796,3711,2284
797,3711,2282
798,3711,2279
799,3711,2276
800,3711,2272
801,3710,2268
802,3710,2262
803,3709,2254
804,3708,2246
805,3707,2236
806,3706,2225
807,3704,2214
808,3703,2201
809,3701,2185
810,3699,2167
811,3697,2147
812,3693,2123
813,3688,2096
814,3681,2068
815,3672,2038
816,3663,2006
817,3653,1972
818,3643,1937
819,3633,1900
820,3622,1863
821,3609,1825
822,3595,1787
823,3578,1750
824,3558,1714
825,3534,1680
826,3506,1648
827,3474,1620
828,3438,1595
829,3400,1573
830,3360,1553
831,3319,1536
832,3277,1519
833,3256,1511
834,3712,2288
835,3712,2288
836,3712,2288
837,3712,2287
838,3712,2287
839,3711,2286
840,3711,2284
841,3711,2282
842,3711,2279
843,3711,2276
844,3711,2272
845,3710,2268
846,3710,2262
847,3709,2254
848,3708,2246
849,3707,2236
850,3705,2226
851,3704,2214
852,3703,2201
853,3701,2185
854,3699,2168
855,3696,2147
856,3692,2123
857,3687,2097
858,3680,2068
859,3671,2038
860,3661,2006
