time/time_elapsed,rollout/ep_rew_mean,time/fps,time/total_timesteps,time/iterations,rollout/ep_len_mean,train/entropy_loss,train/learning_rate,train/approx_kl,train/explained_variance,train/clip_range,train/value_loss,train/policy_gradient_loss,train/loss,train/clip_fraction,train/n_updates
1253,-1321.89849997,230,288768,47,1622.0,-7.293376912673314,0.00025,0.015525334,0.9977223873138428,0.2,3.5301646875838437,0.008725694618381871,1.8834285736083984,0.23368326822916666,184
1280,-1369.6584999700003,230,294912,48,1622.0,-7.114079311490059,0.00025,0.018743522,0.9977843165397644,0.2,3.1690951051811376,0.009660362445477707,2.070526361465454,0.282470703125,188
1305,-1371.8234999600006,230,301056,49,1622.0,-7.315709347526233,0.00025,0.016173013,0.9978123903274536,0.2,3.3011681772768497,0.007850984831748065,2.2349793910980225,0.24658203125,192
1332,-1405.2834999400004,230,307200,50,1622.0,-7.1712771356105804,0.00025,0.020097384,0.9974581003189087,0.2,3.0612574058274427,0.00951069256067664,1.8968199491500854,0.2725423177083333,196
1359,-1414.7784999500002,230,313344,51,1622.0,-7.344438423713048,0.00025,0.018008552,0.9982557892799377,0.2,2.855895518014828,0.007617428079053449,1.4968174695968628,0.244384765625,200
1386,-1382.43849998,230,319488,52,1622.0,-7.199924468994141,0.00025,0.023803266,0.9977673292160034,0.2,2.771745588630438,0.015351096306403633,2.0026986598968506,0.3223470052083333,204
1410,-1365.9535000100004,230,325632,53,1622.0,-7.235379924376805,0.00025,0.033376288,0.9977863430976868,0.2,1.5496409367769957,0.05818375446930683,0.4862014949321747,0.5325927734375,208
1438,-1310.58350002,230,331776,54,1622.0,-7.193122665087382,0.00025,0.021949485,0.997933030128479,0.2,1.4313037060201168,0.01377031184771719,0.2983097732067108,0.322509765625,212
1465,-1267.8685000199998,230,337920,55,1622.0,-7.272054468592008,0.00025,0.03622502,0.9978657960891724,0.2,1.6216272432357073,0.013381153636146337,0.47858870029449463,0.3212483723958333,216
1492,-1253.8585000300002,230,344064,56,1622.0,-7.268804118037224,0.00025,0.018694574,0.997290849685669,0.2,1.6143296013275783,0.014638760255669089,0.34726932644844055,0.331787109375,220
1517,-1245.66350004,230,350208,57,1622.0,-7.363067179918289,0.00025,0.0219026,0.997550904750824,0.2,1.7846804584066074,0.013081533315319879,0.5675156116485596,0.3416748046875,224
1544,-1246.5485000200001,230,356352,58,1622.0,-7.209587881962459,0.00025,0.01957951,0.9973369836807251,0.2,1.6087586966653664,0.01273670774147225,0.5463828444480896,0.313720703125,228
1571,-1289.3385000199999,230,362496,59,1622.0,-7.249658241868019,0.00025,0.025092727,0.9983978271484375,0.2,1.4374932081749041,0.01233139555552043,0.44111475348472595,0.3153889973958333,232
1599,-1337.2935000200002,230,368640,60,1622.0,-7.141565764943759,0.00025,0.025431456,0.9974913597106934,0.2,1.5281007879724104,0.016846659377430722,0.4743507504463196,0.3715413411458333,236
