rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/fps,train/clip_fraction,train/n_updates,train/entropy_loss,train/explained_variance,train/clip_range,train/value_loss,train/approx_kl,train/learning_rate,train/policy_gradient_loss,train/loss
2224.0,3273,-192.7353998,792576,129,242,0.3262125651041667,512,-7.409525369604428,0.9977333545684814,0.2,1.2666002648572128,0.036436785,0.00025,0.012305417326084958,0.43932032585144043
2224.0,3299,-198.26406639000004,798720,130,242,0.3057861328125,516,-7.354398985703786,0.9980176091194153,0.2,1.1790057166169088,0.023127416,0.00025,0.01136411909101298,0.4013878107070923
2224.0,3326,-228.67973325,804864,131,241,0.3131103515625,520,-7.241201753417651,0.9970316290855408,0.2,1.558575799067815,0.022351379,0.00025,0.010558125676955873,0.4754698872566223
2224.0,3352,-257.90473323,811008,132,241,0.3656819661458333,524,-7.160187636812528,0.9976146221160889,0.2,1.4476170372217894,0.031481523,0.00025,0.018764663007459603,0.493755966424942
2224.0,3378,-263.38206642000006,817152,133,241,0.3035888671875,528,-7.337012494603793,0.9979807734489441,0.2,1.1870792601257563,0.02000678,0.00025,0.013341180126493176,0.5041452646255493
2224.0,3404,-286.03573294,823296,134,241,0.3573404947916667,532,-7.3210031390190125,0.9980688691139221,0.2,1.1478677205741405,0.038354103,0.00025,0.017192643201269675,0.37841153144836426
2224.0,3429,-288.49773292,829440,135,241,0.3989664713541667,536,-7.344695498545964,0.9978815317153931,0.2,1.2376636173576117,0.02534067,0.00025,0.02530718866425256,0.3220108151435852
2224.0,3455,-254.03239961,835584,136,241,0.3358154296875,540,-7.265119781096776,0.9978983402252197,0.2,1.2659740205854177,0.02476661,0.00025,0.015541549320914783,0.32438722252845764
2224.0,3481,-221.71873297,841728,137,241,0.4677327473958333,544,-7.159103959798813,0.9976702332496643,0.2,1.1492314922312896,0.08624958,0.00025,0.038539157634659205,0.4000587463378906
2224.0,3507,-226.38173304999998,847872,138,241,0.5401611328125,548,-7.119209185242653,0.9980455636978149,0.2,1.0515249868233998,0.108177744,0.00025,0.05446427567464222,1.3832218647003174
2224.0,3533,-221.74439958,854016,139,241,0.23185221354166666,552,-6.828839684526126,0.9981611967086792,0.2,1.2272261623293161,0.023695864,0.00025,0.00724295274024674,0.7962198257446289
2224.0,3558,-220.17273302,860160,140,241,0.23872884114583334,556,-6.863176708420117,0.9981682300567627,0.2,1.19423612455527,0.017580034,0.00025,0.0031945933418076797,0.6106358170509338
2224.0,3584,-188.46240000999998,866304,141,241,0.2578125,560,-6.8011264353990555,0.9967482089996338,0.2,1.3190619790305693,0.016091682,0.00025,0.008167229027700765,0.605370283126831
2224.0,3610,-178.41140002,872448,142,241,0.3180338541666667,564,-6.8036544770002365,0.9977207779884338,0.2,1.3239364884793758,0.031794194,0.00025,0.012754699790093582,0.6569718718528748
2224.0,3636,-145.96240024,878592,143,241,0.4131266276041667,568,-6.706928119063377,0.9975076913833618,0.2,1.2197640265027683,0.06305677,0.00025,0.024711451832748327,0.5704695582389832
2224.0,3661,-137.10640035999998,884736,144,241,0.4227701822916667,572,-6.697223176558812,0.9975618124008179,0.2,1.0732117587079604,0.07490893,0.00025,0.029603605396308314,0.3160812258720398
2218.87,3687,-155.65221349,890880,145,241,0.3605143229166667,576,-6.637301673491796,0.9974716305732727,0.2,1.0486582418282826,0.037274454,0.00025,0.018486803960210334,0.3716665506362915
2218.87,3712,-118.0348804,897024,146,241,0.3744710286458333,580,-6.528483276565869,0.9825248122215271,0.2,6.878443715473016,0.017107332,0.00025,0.017460264006028108,5.0194525718688965
2218.87,3738,-111.527547,903168,147,241,0.21305338541666666,584,-6.450914904475212,0.9934499859809875,0.2,2.1291498268644014,0.015622216,0.00025,0.004086114708722259,1.2400164604187012
2218.87,3764,-91.41054708000001,909312,148,241,0.19185384114583334,588,-6.427570601304372,0.9974580407142639,0.2,1.41196115501225,0.012981792,0.00025,0.0025802349555306137,0.8984833359718323
2218.87,3790,-71.99421379,915456,149,241,0.232177734375,592,-6.281287903587024,0.9968981146812439,0.2,1.5860318094491959,0.018933855,0.00025,0.007219016096011425,0.8375546336174011
2218.87,3816,-41.95321347,921600,150,241,0.24674479166666666,596,-6.378936563928922,0.9973646402359009,0.2,1.4758400805294514,0.016405487,0.00025,0.00975158165480631,0.7447492480278015
2218.87,3841,2.8804535400000053,927744,151,241,0.24825032552083334,600,-6.462302153309186,0.9974210262298584,0.2,1.4434021251897018,0.015794497,0.00025,0.008473170135403052,0.7297968864440918
2218.87,3867,-9.41454659,933888,152,241,0.215087890625,604,-6.5243139415979385,0.9976044297218323,0.2,1.3346589021384716,0.015138187,0.00025,0.005638380289989679,0.6870457530021667
2218.87,3893,-8.906213149999981,940032,153,241,0.3666178385416667,608,-6.430313274264336,0.99733567237854,0.2,1.1277201008051634,0.023547607,0.00025,0.022671776678180322,0.40306681394577026
2224.0,3919,0.7206001400000005,946176,154,241,0.4979248046875,612,-6.401906743645668,0.9977179765701294,0.2,1.0110443097849686,0.03627994,0.00025,0.044650613500076965,0.3370582163333893
