time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/clip_fraction,train/approx_kl,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/n_updates,train/clip_range,train/explained_variance,train/value_loss,train/loss,rollout/ep_len_mean,rollout/ep_rew_mean
89088,774,115,116,0.3450520833333333,0.026344284,0.00025,-7.766005052460565,0.02036129089538008,345,0.2,0.7403261661529541,10.368667440281975,3.5920121669769287,1019.0,8297.3
89856,778,115,117,0.3728298611111111,0.040580813,0.00025,-7.825936436653137,0.013696513707853027,348,0.2,0.9066213965415955,11.10013594561153,4.862757205963135,1019.0,8286.38
90624,783,115,118,0.3237847222222222,0.023546597,0.00025,-7.79538846678204,-0.005796466753559394,351,0.2,0.8195813894271851,10.803938309351603,8.9453706741333,1019.0,8235.16
91392,787,116,119,0.3433159722222222,0.038175754,0.00025,-7.70039137866762,-0.00463956799164104,354,0.2,0.9020305275917053,11.399825625949436,8.321269989013672,1019.0,8277.28
92160,792,116,120,0.4288194444444444,0.05096187,0.00025,-7.746547195646498,0.026800484260699402,357,0.2,0.7991458773612976,8.020592487520641,2.635594606399536,1019.0,8353.98
92928,797,116,121,0.31640625,0.02080441,0.00025,-7.651120132870144,0.001843955083232787,360,0.2,0.8715740442276001,10.78354944785436,5.592984676361084,1019.0,8399.48
93696,801,116,122,0.32421875,0.030436145,0.00025,-7.789248579078251,0.031725177580180265,363,0.2,0.8256058692932129,17.460457421011395,3.8456857204437256,1019.0,8432.84
94464,808,116,123,0.2782118055555556,0.029786984,0.00025,-7.73165817393197,0.011861793205348982,366,0.2,0.9073817133903503,12.87149331304762,6.874232769012451,1019.0,8421.02
95232,812,117,124,0.328125,0.031669635,0.00025,-7.827812241183387,0.0013952345794273748,369,0.2,0.9109772443771362,17.806786914666493,9.856696128845215,1019.0,8352.9
96000,817,117,125,0.3563368055555556,0.027219368,0.00025,-7.8650502694977655,0.0004071521495158474,372,0.2,0.8552165627479553,14.424309796757168,5.992157936096191,1019.0,8657.9
96768,822,117,126,0.3671875,0.032020528,0.00025,-7.870454960399204,0.00815955533956488,375,0.2,0.2970053553581238,13.817797323067984,6.96998929977417,1019.0,8536.74
97536,826,117,127,0.3511284722222222,0.01786556,0.00025,-7.760927610927158,-0.00015536734523872534,378,0.2,0.7701943516731262,15.051595105065239,6.07870626449585,1014.45,8555.47
98304,830,118,128,0.3081597222222222,0.023244327,0.00025,-7.708163890573713,0.013471720183992552,381,0.2,0.763383686542511,15.991508450773027,9.313117980957031,1010.43,8526.11
99072,834,118,129,0.3155381944444444,0.026189161,0.00025,-7.666401035255856,0.01584394756031947,384,0.2,0.8460524082183838,15.422834244039324,7.7835798263549805,1010.43,8555.23
99840,838,119,130,0.35546875,0.034685504,0.00025,-7.680182880825466,0.012949502716461817,387,0.2,0.8215343952178955,11.652047822872797,3.1509056091308594,1004.84,8522.14
100608,846,118,131,0.3884548611111111,0.024161657,0.00025,-7.720582577917311,0.008021867484785616,390,0.2,0.8726001977920532,19.342847949928707,6.615436553955078,1004.84,8522.14
101376,850,119,132,0.3776041666666667,0.030281646,0.00025,-7.6385442349645825,0.02291804771973855,393,0.2,0.7595655918121338,12.22693838013543,10.310049057006836,1004.84,8397.32
102144,854,119,133,0.3237847222222222,0.030896276,0.00025,-7.611843824386597,0.004985152543263717,396,0.2,0.8784846067428589,19.911250750223797,8.164372444152832,1004.84,8397.32
102912,859,119,134,0.3771701388888889,0.040708568,0.00025,-7.6929447584682045,0.011022793931058712,399,0.2,0.610944390296936,11.882891886764103,6.858617782592773,1004.84,8700.92
103680,863,120,135,0.4574652777777778,0.04628529,0.00025,-7.62733957502577,0.009432167875477009,402,0.2,0.8636742234230042,10.802877462572521,8.054402351379395,1004.84,8700.92
104448,867,120,136,0.4071180555555556,0.04002678,0.00025,-7.682374603218502,0.007884143851697445,405,0.2,0.7267044186592102,14.038810041215685,9.49150276184082,1004.84,9302.96
105216,871,120,137,0.3936631944444444,0.04143663,0.00025,-7.721909840901692,0.023849879055180483,408,0.2,0.7346938848495483,21.73805530865987,18.60228729248047,1004.84,9302.96
105984,879,120,138,0.3454861111111111,0.02299568,0.00025,-7.720450043678284,0.006817917611139516,411,0.2,0.7711787223815918,20.16563892364502,6.1899871826171875,1004.84,9295.06
106752,883,120,139,0.3381076388888889,0.031041553,0.00025,-7.721575346257952,0.012808453084694015,414,0.2,0.911226749420166,17.05025761657291,7.313488006591797,1004.84,9295.06
107520,888,121,140,0.3927951388888889,0.036796577,0.00025,-7.663390219211578,0.012638868243407665,417,0.2,0.8476652503013611,12.129938834243351,3.6073129177093506,1004.84,9610.1
108288,892,121,141,0.34765625,0.030224482,0.00025,-7.734423299630483,0.027717616454335965,420,0.2,0.8947556614875793,15.215991000334421,7.176558494567871,1004.84,9610.1
109056,897,121,142,0.4322916666666667,0.044180345,0.00025,-7.698415027724372,0.02706007095467713,423,0.2,0.8253532648086548,10.8967554072539,4.842959403991699,1004.84,9944.8
109824,901,121,143,0.4457465277777778,0.03139135,0.00025,-7.664229194323222,0.026744880946353078,426,0.2,0.9002165794372559,12.876855194568634,7.321049690246582,1004.84,9944.8
110592,906,122,144,0.4631076388888889,0.052881856,0.00025,-7.629062056541443,0.02765586982584662,429,0.2,0.8123292922973633,9.250574029154247,4.324702739715576,1004.84,10218.88
111360,914,121,145,0.3975694444444444,0.042748332,0.00025,-7.709657967090607,0.01517346220660127,432,0.2,0.8923699259757996,20.60743099451065,16.090007781982422,1004.84,10218.88
112128,920,121,146,0.3541666666666667,0.056065302,0.00025,-7.741098019811842,0.028408160148602393,435,0.2,0.8309345245361328,18.107932971583473,5.332543849945068,1002.68,10082.74
112896,924,122,147,0.3563368055555556,0.03968286,0.00025,-7.781162195735508,0.01200920327230253,438,0.2,0.9507873058319092,12.244854026370579,6.875243186950684,1002.68,10097.56
113664,928,122,148,0.4830729166666667,0.08177722,0.00025,-7.708159969912635,0.026620242033257253,441,0.2,0.9073637127876282,8.417848537365595,4.405226707458496,1002.68,10094.44
114432,933,122,149,0.37890625,0.031104326,0.00025,-7.7141334017117815,0.00782253659175088,444,0.2,0.8490934371948242,12.481120818191105,7.465999603271484,1002.68,10076.76
115200,938,122,150,0.3967013888888889,0.03590398,0.00025,-7.785972184605068,0.005325481767714437,447,0.2,0.8750649690628052,12.158650868468815,4.851078987121582,1002.68,10119.4
115968,943,122,151,0.3823784722222222,0.031019568,0.00025,-7.632907119062212,0.012865480320114229,450,0.2,0.9534904956817627,13.305011159843868,9.498294830322266,1002.68,10138.64
116736,948,123,152,0.4166666666666667,0.048993375,0.00025,-7.769762668344709,0.021384750072482146,453,0.2,0.8575863838195801,7.834576418002446,3.3952598571777344,1002.68,10214.04
117504,952,123,153,0.4670138888888889,0.052640248,0.00025,-7.653536723719703,0.027617322125782568,456,0.2,0.9143296480178833,9.39741387963295,3.0106470584869385,1000.3,10209.74
118272,957,123,154,0.4019097222222222,0.02464378,0.00025,-7.580213540130192,0.004473158417062627,459,0.2,0.8132135272026062,12.80179046591123,6.672672271728516,994.0,10476.36
119040,961,123,155,0.4253472222222222,0.045307267,0.00025,-7.621335532930162,0.024716256018210616,462,0.2,0.888248085975647,13.959564924240112,5.3772687911987305,994.0,10489.74
119808,966,123,156,0.3498263888888889,0.028672224,0.00025,-7.6591540111435785,0.00658241715023501,465,0.2,0.7262665629386902,11.280554201867846,5.18688440322876,993.76,10576.6
120576,970,124,157,0.4149305555555556,0.04227832,0.00025,-7.66539470354716,0.015060391425827725,468,0.2,0.9310599565505981,7.391826179292467,5.433256149291992,993.76,10620.8
121344,975,124,158,0.4535590277777778,0.072710946,0.00025,-7.539470076560974,0.02811968511539615,471,0.2,0.8504298329353333,6.904260118802388,3.0582592487335205,993.76,10752.88
122112,980,124,159,0.4765625,0.044619292,0.00025,-7.494131922721863,0.02730481087281886,474,0.2,0.915006697177887,9.560210876994663,9.967013359069824,993.76,10816.32
122880,986,124,160,0.33203125,0.042939678,0.00025,-7.577413307295905,0.010108547931950953,477,0.2,0.9212990403175354,10.496659908029768,4.350916385650635,997.43,10757.81
123648,995,124,161,0.4787326388888889,0.073363416,0.00025,-7.655925737486945,0.03991464509939154,480,0.2,0.9393671751022339,15.160002834267086,6.093317985534668,1001.45,10852.15
124416,1001,124,162,0.3893229166666667,0.04140519,0.00025,-7.552697618802388,0.025708269340813987,483,0.2,0.9018738269805908,13.438346985313627,3.6631152629852295,1001.45,10784.75
125184,1007,124,163,0.44921875,0.047887664,0.00025,-7.713145944807264,0.026289259833801124,486,0.2,0.9399904012680054,16.423786378569073,7.577274799346924,1007.04,10837.68
125952,1012,124,164,0.4596354166666667,0.043438602,0.00025,-7.680249041981167,0.02822119240752525,489,0.2,0.8536114692687988,14.049897717105019,3.4947195053100586,1007.04,10833.96
126720,1017,124,165,0.3385416666666667,0.025142139,0.00025,-7.611374749077691,0.00964888764752282,492,0.2,0.8970276713371277,16.623822669188183,7.603785037994385,1007.04,10880.0
127488,1022,124,166,0.3723958333333333,0.025343984,0.00025,-7.600257840421465,0.025222769563293293,495,0.2,0.8754233717918396,14.419461958938175,8.73971939086914,1007.04,10834.5
128256,1028,124,167,0.4110243055555556,0.031442504,0.00025,-7.58413487010532,0.011549387592822313,498,0.2,0.9521848559379578,12.77636522716946,7.124920845031738,1007.04,10849.3
129024,1033,124,168,0.4006076388888889,0.055170167,0.00025,-7.723131563928392,0.015233589239263287,501,0.2,0.8906261920928955,17.51798482404815,7.2586188316345215,1007.04,10642.8
129792,1037,125,169,0.42578125,0.056954402,0.00025,-7.698788166046143,0.019273806143448584,504,0.2,0.9318740963935852,18.02516094181273,6.1714701652526855,1007.04,10577.3
130560,1042,125,170,0.3381076388888889,0.026097925,0.00025,-7.811557624075148,0.0033789488952606916,507,0.2,0.8402242660522461,22.325852294762928,9.557405471801758,1007.04,10615.74
131328,1046,125,171,0.3294270833333333,0.023407495,0.00025,-7.788750900162591,0.005043610257820951,510,0.2,0.8354722261428833,17.349402050177257,11.544075012207031,1007.04,10578.44
132096,1051,125,172,0.3051215277777778,0.0264287,0.00025,-7.780027329921722,0.013520036435996493,513,0.2,0.874065101146698,14.770298878351847,7.257769584655762,1007.04,10528.42
132864,1056,125,173,0.3550347222222222,0.02616735,0.00025,-7.684019565582275,0.001330470368783507,516,0.2,0.8904776573181152,9.96220005220837,4.0392279624938965,1007.04,10534.66
133632,1064,125,174,0.3402777777777778,0.019586874,0.00025,-7.633263005150689,-0.0029431661177012655,519,0.2,0.8005154132843018,12.534299810727438,8.426532745361328,1007.04,10455.36
134400,1069,125,175,0.2816840277777778,0.029550023,0.00025,-7.605745938089159,0.004066926556535893,522,0.2,0.9346058368682861,8.739842146635056,5.1406474113464355,1007.04,10444.98
135168,1074,125,176,0.4275173611111111,0.05829889,0.00025,-7.7117910914950905,0.03757915863793136,525,0.2,0.9002425670623779,12.326145006550682,8.676745414733887,1007.04,10257.76
135936,1079,125,177,0.3346354166666667,0.053369716,0.00025,-7.737440367539723,0.0067001742621262865,528,0.2,0.9475857615470886,11.746950427691141,10.064693450927734,1007.04,9972.96
136704,1083,126,178,0.3233506944444444,0.05400898,0.00025,-7.7712686856587725,0.015737427786613505,531,0.2,0.9483778476715088,16.01801700062222,4.690486907958984,1009.2,9908.98
137472,1088,126,179,0.3572048611111111,0.02326248,0.00025,-7.75567270649804,0.0027203388421589304,534,0.2,0.8898245096206665,11.684071752760145,10.481356620788574,1009.2,10149.36
138240,1092,126,180,0.3402777777777778,0.024256503,0.00025,-7.669149160385132,0.004331306334481471,537,0.2,0.7599103450775146,15.215869519445631,3.151577949523926,1009.2,10199.28
139008,1099,126,181,0.4253472222222222,0.054953814,0.00025,-7.6416547828250465,0.02951176869424267,540,0.2,0.8860150575637817,10.11446769369973,3.2129101753234863,1009.2,10212.28
139776,1103,126,182,0.3832465277777778,0.036285717,0.00025,-7.691758135954539,-0.009428607286988862,543,0.2,0.8637775182723999,13.414707779884338,5.92927885055542,1009.2,10281.44
140544,1107,126,183,0.4769965277777778,0.060371906,0.00025,-7.606799172030555,0.028113316563475464,546,0.2,0.9053856134414673,9.312499897347557,4.469046115875244,1009.2,10335.18
141312,1112,127,184,0.44921875,0.06238687,0.00025,-7.654902199904124,0.040451928636887007,549,0.2,0.8183165788650513,16.66128956609302,4.202406883239746,1008.15,10340.53
142080,1116,127,185,0.5407986111111112,0.0749231,0.00025,-7.598997950553894,0.02900549438264635,552,0.2,0.950617790222168,6.279026021560033,2.743683338165283,1008.15,10357.17
142848,1120,127,186,0.38671875,0.033138845,0.00025,-7.756089091300964,0.011008527893055644,555,0.2,0.87024986743927,14.458213554488289,4.926490783691406,1010.53,9997.25
143616,1125,127,187,0.3832465277777778,0.045574903,0.00025,-7.6697589953740435,0.020025152596645057,558,0.2,0.90278559923172,17.81320822238922,8.581790924072266,1010.53,9944.21
144384,1132,127,188,0.3528645833333333,0.050044846,0.00025,-7.829212784767151,0.01706025896904369,561,0.2,0.9023550748825073,13.132195939620336,5.280276298522949,1016.83,9803.81
145152,1137,127,189,0.3932291666666667,0.046084583,0.00025,-7.5701491766505775,0.015270652145975165,564,0.2,0.9277341961860657,8.972459475199381,5.857792377471924,1017.07,9778.83
145920,1141,127,190,0.3190104166666667,0.03457203,0.00025,-7.654738585154216,0.010223069473997586,567,0.2,0.9336393475532532,6.89687266614702,5.478702545166016,1017.07,9768.17
146688,1145,128,191,0.3706597222222222,0.03478839,0.00025,-7.62496554851532,0.011654054215695295,570,0.2,0.9333534836769104,13.561336951123344,2.9121172428131104,1017.07,9485.47
147456,1150,128,192,0.4305555555555556,0.060544807,0.00025,-7.675273259480794,0.04714607736483837,573,0.2,0.9374473690986633,16.43820936150021,3.3637914657592773,1017.07,9179.95
148224,1154,128,193,0.4036458333333333,0.053554405,0.00025,-7.644928554693858,-0.0007519246104897724,576,0.2,0.9561372399330139,15.2148554192649,5.531287670135498,1017.95,9186.33
148992,1158,128,194,0.3776041666666667,0.036257993,0.00025,-7.677316519949171,0.008411508971928723,579,0.2,0.9236037731170654,9.227211982011795,6.227723121643066,1017.95,9166.45
