time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/learning_rate,train/loss,train/policy_gradient_loss,rollout/ep_rew_mean,train/n_updates,train/explained_variance,rollout/ep_len_mean,train/value_loss,train/clip_fraction,train/approx_kl,train/entropy_loss,train/clip_range
163,56832,74,347,0.00025,24.02589225769043,0.07383440648360799,-33805.0,219,-3.2193546295166016,1019.0,28.159386886490715,0.59375,0.13204433,-7.302134646309747,0.2
163,57600,75,352,0.00025,15.116759300231934,0.04437011294066906,-33805.0,222,0.16636693477630615,1019.0,59.390156865119934,0.5,0.04907653,-7.5595952603552075,0.2
162,58368,76,360,0.00025,17.788000106811523,0.04571750344863782,-33528.02,225,-0.053429484367370605,1019.0,31.90764629840851,0.5104166666666666,0.06998116,-7.570473472277324,0.2
162,59136,77,364,0.00025,19.212810516357422,0.03121278678170509,-33528.02,228,0.3181043267250061,1019.0,74.5024067958196,0.4500868055555556,0.05074968,-7.829580737484826,0.2
162,59904,78,369,0.00025,12.62108039855957,0.0600758362820165,-33374.88,231,0.4593900442123413,1019.0,19.127430491977268,0.5954861111111112,0.121765845,-7.912956317265828,0.2
162,60672,79,373,0.00025,9.858524322509766,0.04216591936225692,-33374.88,234,0.35918307304382324,1019.0,51.01020263301002,0.5234375,0.04583441,-7.816464556588067,0.2
162,61440,80,378,0.00025,21.803239822387695,0.059566210515590176,-33226.42,237,0.4147547483444214,1019.0,19.517254100905525,0.5716145833333334,0.15115167,-7.894120573997498,0.2
162,62208,81,382,0.00025,19.445409774780273,0.03083789366711345,-33226.42,240,0.3127162456512451,1019.0,45.520523296462166,0.3806423611111111,0.019078022,-7.9837965567906695,0.2
162,62976,82,387,0.00025,14.985856056213379,0.10242767809864341,-33209.0,243,0.7032921314239502,1019.0,18.294402221838634,0.6553819444444444,0.27631053,-7.985363019837274,0.2
162,63744,83,391,0.00025,10.817313194274902,0.03301317715603444,-33209.0,246,0.4714365601539612,1019.0,41.23563186327616,0.3980034722222222,0.020457258,-8.059111244148678,0.2
161,64512,84,398,0.00025,9.205282211303711,0.05631530791934994,-33024.66,249,0.40308260917663574,1019.0,16.134297834502327,0.5603298611111112,0.08958205,-8.05441670285331,0.2
