time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/learning_rate,train/approx_kl,train/clip_range,train/explained_variance,train/loss,train/policy_gradient_loss,rollout/ep_rew_mean,train/clip_fraction,train/n_updates,train/entropy_loss,rollout/ep_len_mean,train/value_loss
60672,376,161,79,0.00025,0.09576855,0.2,0.9578797817230225,6.832767486572266,0.04680106074859699,-20244.98,0.5542534722222222,234,-6.08347945743137,1019.0,19.07169149319331
61440,381,161,80,0.00025,0.026156848,0.2,0.8264980912208557,95.72047424316406,0.009821865733505951,-20215.34,0.4079861111111111,237,-5.985930376582676,1019.0,96.26845248540242
62208,386,161,81,0.00025,0.051470514,0.2,0.9502261281013489,17.209060668945312,0.018646923139587872,-20215.34,0.4058159722222222,240,-6.086538566483392,1019.0,29.911741799778408
62976,394,159,82,0.00025,0.03794993,0.2,0.8556567430496216,65.1446762084961,0.018024879443045292,-20103.28,0.4040798611111111,243,-6.2792179518275795,1019.0,74.62643962436252
63744,399,159,83,0.00025,0.053911533,0.2,0.9455522894859314,12.854528427124023,0.018699005155617163,-20103.28,0.421875,246,-6.408373408847385,1019.0,42.26957913239797
64512,404,159,84,0.00025,0.056842815,0.2,0.7963523864746094,87.90547180175781,0.03980717855867826,-20071.82,0.4878472222222222,249,-6.532381779617733,1019.0,100.61690664291382
65280,409,159,85,0.00025,0.06818601,0.2,0.9452298879623413,46.687843322753906,0.008805366026030647,-20071.82,0.4622395833333333,252,-6.8344054619471235,1019.0,46.70898577902052
66048,415,159,86,0.00025,0.050870854,0.2,0.7632129192352295,89.86437225341797,0.032044766068186924,-20296.98,0.4587673611111111,255,-6.633186194631788,1019.0,147.58981980217828
66816,419,159,87,0.00025,0.05475612,0.2,0.9342062473297119,15.501209259033203,0.025911949911258288,-20296.98,0.4670138888888889,258,-6.830196248160468,1019.0,38.467314998308815
67584,427,158,88,0.00025,0.05456425,0.2,0.8666409254074097,46.15625762939453,0.02151791629795399,-20395.0,0.4301215277777778,261,-6.990855283207363,1019.0,68.49733869234721
68352,432,158,89,0.00025,0.1032514,0.2,0.9747436046600342,4.938439846038818,0.02183184802480456,-20395.0,0.4969618055555556,264,-6.8664429320229425,1019.0,15.050668047534096
69120,437,158,90,0.00025,0.032580875,0.2,0.7665943503379822,77.83357238769531,0.02433816818908478,-20612.88,0.4548611111111111,267,-6.766629993915558,1019.0,134.64519876903958
69888,442,157,91,0.00025,0.062440008,0.2,0.9479275345802307,22.182390213012695,0.017215051452189475,-20612.88,0.4440104166666667,270,-6.568061014016469,1019.0,46.631637043423126
70656,447,157,92,0.00025,0.020193353,0.2,0.7149385213851929,181.6627655029297,0.012999304893633557,-20850.78,0.2834201388888889,273,-6.5916782352659435,1019.0,197.59265285068088
71424,452,157,93,0.00025,0.06523631,0.2,0.9391008615493774,14.766979217529297,0.03856216439615107,-20850.78,0.4123263888888889,276,-6.4524127509858875,1019.0,29.859067300955456
72192,457,157,94,0.00025,0.029857978,0.2,0.7526215314865112,80.03011322021484,0.013718765358337097,-21134.7,0.33984375,279,-6.378124309910668,1019.0,137.12537246280246
72960,465,156,95,0.00025,0.05627333,0.2,0.851323127746582,41.7701530456543,0.019237534324121144,-21134.7,0.3450520833333333,282,-6.676179687182109,1019.0,56.40379659334818
73728,471,156,96,0.00025,0.038168196,0.2,0.7130722403526306,43.979881286621094,0.012225223207173662,-21360.36,0.41796875,285,-7.064528233475155,1019.0,93.99103291829427
74496,476,156,97,0.00025,0.027324492,0.2,0.9212058782577515,20.953750610351562,0.011899800576631807,-21360.36,0.3311631944444444,288,-6.850265635384454,1019.0,42.543187114927505
75264,481,156,98,0.00025,0.054148,0.2,0.760642945766449,39.04364776611328,0.039431852366154395,-21729.98,0.4123263888888889,291,-7.264017787244585,1019.0,63.18796485000186
