time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/clip_range,train/value_loss,train/clip_fraction,rollout/ep_rew_mean,train/entropy_loss,train/learning_rate,train/n_updates,train/loss,train/approx_kl,train/explained_variance,train/policy_gradient_loss,rollout/ep_len_mean
24576,48,141,173,0.2,13.451366265614828,0.2923177083333333,-58.804998739999995,-7.76934148867925,0.00025,141,7.471737861633301,0.013844439,0.685727596282959,0.008213607739889994,956.19
25088,49,141,177,0.2,14.954197059075037,0.3326822916666667,-56.13099871,-7.684370378653209,0.00025,144,12.461712837219238,0.018748496,0.6278862953186035,-0.00022384842547277609,956.19
25600,50,140,181,0.2,15.448865383863449,0.3450520833333333,-55.45699870000001,-7.632689545551936,0.00025,147,8.75087833404541,0.039236784,0.6732174754142761,0.001509939650228868,956.19
26112,51,140,185,0.2,32.62744049231211,0.4401041666666667,-59.50899861,-7.712629944086075,0.00025,150,9.503745079040527,0.040239997,0.6215522289276123,0.03265238143891717,956.19
26624,52,140,189,0.2,29.96221113204956,0.474609375,-58.7689986,-7.532594531774521,0.00025,153,17.892908096313477,0.05473291,0.850997805595398,0.020188922702800483,956.19
27136,53,140,193,0.2,15.644745091597239,0.3990885416666667,-64.63499859000001,-7.766844838857651,0.00025,156,6.200520992279053,0.09588897,0.8313307762145996,0.035170973472607635,956.19
27648,54,142,194,0.2,18.924312124649685,0.4485677083333333,-64.61899859,-7.798567920923233,0.00025,159,10.512192726135254,0.05052305,0.8993985652923584,0.02071263427690913,956.19
28160,55,141,198,0.2,12.674529552459717,0.357421875,-62.142998670000004,-7.86071898539861,0.00025,162,5.838019371032715,0.036706377,0.7336856126785278,0.005026907233210902,956.19
28672,56,141,202,0.2,23.648584723472595,0.4869791666666667,-62.41299868,-7.842811584472656,0.00025,165,21.630050659179688,0.04015042,0.8488126993179321,0.0031427321567510567,956.19
29184,57,141,206,0.2,13.168595165014267,0.4583333333333333,-60.673998739999995,-7.6021218200524645,0.00025,168,8.899145126342773,0.08955903,0.7383610606193542,0.0066306387695173425,976.0
29696,58,141,209,0.2,24.395582755406696,0.4186197916666667,-60.340998739999996,-7.647207776705424,0.00025,171,10.254897117614746,0.04003431,0.6550877094268799,0.007754698628559709,981.75
30208,59,141,214,0.2,16.285939633846283,0.4895833333333333,-48.70099886999999,-7.711317181587219,0.00025,174,12.19999885559082,0.043814417,0.6202342510223389,0.005914114590268582,987.03
30720,60,141,217,0.2,14.615909278392792,0.3802083333333333,-38.91499887,-7.643321673075358,0.00025,177,10.536706924438477,0.034850083,0.7948717474937439,0.011186299690355858,987.03
