time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,train/n_updates,train/clip_range,train/entropy_loss,train/learning_rate,train/approx_kl,train/clip_fraction,train/explained_variance,train/policy_gradient_loss,train/value_loss,train/loss
135168,752,179,-330.42703021,22,1534.73,84,0.2,-7.845940515398979,0.00025,0.020453071,0.296630859375,0.9502572417259216,0.008210193511331454,57.844688057899475,22.27523422241211
141312,791,178,-330.0585201800001,23,1538.11,88,0.2,-7.902764543890953,0.00025,0.021424787,0.3093668619791667,0.9492838978767395,0.008165794977685437,51.17129292090734,19.183618545532227
147456,827,178,-377.43980027999993,24,1541.79,92,0.2,-7.898916294177373,0.00025,0.029145807,0.24784342447916666,0.9676130414009094,0.007534521789542244,45.66491039594015,18.457124710083008
153600,861,178,-349.82762525000004,25,1549.78,96,0.2,-7.900240356723468,0.00025,0.019079171,0.2406005859375,0.9571595191955566,0.005099980405551226,53.6797483364741,17.608076095581055
159744,900,177,-288.33657518,26,1559.41,100,0.2,-7.8245649834473925,0.00025,0.037739407,0.3378499348958333,0.9539779424667358,0.008648739446167989,43.19705335299174,18.814245223999023
165888,935,177,-303.88530524000004,27,1574.02,104,0.2,-7.787363802393277,0.00025,0.030326894,0.355712890625,0.9361385107040405,0.004655822684677939,43.286472499370575,20.59677505493164
172032,971,177,-290.56875519,28,1596.47,108,0.2,-7.735213632384936,0.00025,0.023079718,0.2873128255208333,0.9538574814796448,0.007192959717940539,50.10397334893545,21.329618453979492
178176,1006,177,-305.7791902,29,1566.22,112,0.2,-7.741588309407234,0.00025,0.020532833,0.2408447265625,0.9404856562614441,0.0019968063776711156,61.434257547060646,21.75167465209961
184320,1039,177,-271.72585512999996,30,1559.85,116,0.2,-7.741058488686879,0.00025,0.011906579,0.23026529947916666,0.9462042450904846,0.006387651344994083,48.83400136232376,27.262218475341797
190464,1071,177,-228.62864008,31,1552.96,120,0.2,-7.758754193782806,0.00025,0.02861056,0.3153889973958333,0.9535256624221802,0.009708456821196402,31.27862473328908,15.076729774475098
