time/fps,time/iterations,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,train/loss,train/clip_fraction,train/value_loss,rollout/ep_rew_mean,train/explained_variance,train/approx_kl,train/learning_rate,train/entropy_loss,train/clip_range,train/policy_gradient_loss,train/n_updates
38,381,292608,7523,812.28,4.859787940979004,0.3767361111111111,18.72137173016866,11256.71,0.9493136405944824,0.04552391,0.00025,-5.566374533706242,0.2,0.026007265615690913,1140
38,382,293376,7552,817.69,11.735570907592773,0.4518229166666667,19.244064344300163,11376.15,0.9166547656059265,0.07582986,0.00025,-5.665272798803118,0.2,0.050117168329759605,1143
38,383,294144,7557,825.12,4.376194477081299,0.4197048611111111,8.783052805397245,11451.77,0.9110608100891113,0.04072498,0.00025,-5.237993233733707,0.2,0.01436957221529964,1146
38,384,294912,7562,821.86,14.813420295715332,0.4830729166666667,17.125751621193356,11391.22,0.8969002366065979,0.05067478,0.00025,-5.994538770781623,0.2,0.018198582214406796,1149
39,385,295680,7567,832.66,24.845308303833008,0.3958333333333333,22.581827408737606,11260.17,0.9450024366378784,0.057155956,0.00025,-5.414172258641985,0.2,0.009294328137507869,1152
39,386,296448,7572,827.0,10.691763877868652,0.4322916666666667,14.666414731078678,10954.89,0.95645672082901,0.08620942,0.00025,-5.393701679176754,0.2,0.04223889292916283,1155
39,387,297216,7577,823.23,5.244307041168213,0.3910590277777778,15.280506044626236,10919.86,0.9346407651901245,0.07881175,0.00025,-5.473742498291863,0.2,0.03568806698442333,1158
39,388,297984,7581,822.31,10.437023162841797,0.4427083333333333,14.466371701823341,10995.41,0.9142455458641052,0.05712164,0.00025,-5.50151750114229,0.2,0.014866404219194211,1161
39,389,298752,7586,810.64,9.435320854187012,0.4626736111111111,22.31759186585744,10705.07,0.8721293807029724,0.051237185,0.00025,-5.799623284074995,0.2,0.02923875917784042,1164
39,390,299520,7591,794.53,9.950194358825684,0.4509548611111111,13.171598308616215,10675.56,0.9091682434082031,0.04693696,0.00025,-6.0715772774484424,0.2,0.00714005022827122,1167
39,391,300288,7596,776.1,5.748378276824951,0.4370659722222222,13.145857582489649,10485.34,0.8874285817146301,0.05106537,0.00025,-6.0330660409397545,0.2,0.01322090727949722,1170
39,392,301056,7601,784.68,4.096217155456543,0.5755208333333334,7.935193497273657,10594.4,0.9057395458221436,0.09567075,0.00025,-5.859274036354488,0.2,0.034990972528855004,1173
39,393,301824,7606,773.93,4.26165246963501,0.4965277777777778,9.248480323288176,10580.24,0.9361283183097839,0.061420213,0.00025,-5.629507919152577,0.2,0.02389687154855993,1176
39,394,302592,7611,757.41,4.519460201263428,0.4800347222222222,9.351353757911259,10446.54,0.9175746440887451,0.09913846,0.00025,-5.824747184912364,0.2,0.019237289373348985,1179
39,395,303360,7616,745.98,6.60117769241333,0.4635416666666667,19.730041490660774,10429.93,0.8895920515060425,0.04915847,0.00025,-6.170241375764211,0.2,0.0315124248025111,1182
39,396,304128,7621,743.59,8.213690757751465,0.4561631944444444,11.492357936170366,10393.91,0.9507489800453186,0.07376077,0.00025,-6.156543930371602,0.2,0.012249239862689542,1185
39,397,304896,7625,759.62,8.16814136505127,0.4696180555555556,7.933289703395632,10549.53,0.8946169018745422,0.04807804,0.00025,-6.222263316313426,0.2,0.012746698766325911,1188
40,398,305664,7630,757.51,4.588658332824707,0.4162326388888889,14.15664670864741,10513.56,0.8615227937698364,0.042729985,0.00025,-5.891310340828365,0.2,0.022710956788311403,1191
40,399,306432,7635,750.98,9.447192192077637,0.4461805555555556,14.138203223546347,10531.41,0.8945491313934326,0.06805652,0.00025,-6.03690779209137,0.2,0.026914555450073548,1194
40,400,307200,7640,751.65,2.5301027297973633,0.4149305555555556,10.930420014593336,10479.98,0.931244432926178,0.041580994,0.00025,-5.937472416294946,0.2,0.0212412904171894,1197
40,401,307968,7645,768.66,10.238585472106934,0.4526909722222222,11.430315918392605,10688.5,0.9157291650772095,0.034390166,0.00025,-5.79176969660653,0.2,0.026773935636608966,1200
40,402,308736,7650,770.89,5.583069324493408,0.4652777777777778,9.947154412666956,10719.68,0.9252105355262756,0.06460095,0.00025,-6.138578746053907,0.2,0.023122982303094532,1203
40,403,309504,7655,777.27,10.096376419067383,0.4392361111111111,11.56801489326689,10860.48,0.9206303954124451,0.077735424,0.00025,-6.193570064173804,0.2,0.02800853933311171,1206
40,404,310272,7660,780.15,8.888326644897461,0.4327256944444444,13.24533513519499,10859.21,0.9370677471160889,0.042034358,0.00025,-6.103144493367937,0.2,0.015252614432635406,1209
40,405,311040,7667,787.46,1.6734474897384644,0.4826388888888889,6.520188540220261,11016.32,0.9557486772537231,0.05861188,0.00025,-5.812668840090434,0.2,0.028470401652157307,1212
40,406,311808,7674,791.47,6.253904819488525,0.4691840277777778,9.127597444587284,11276.98,0.9146671891212463,0.054907516,0.00025,-6.13057984246148,0.2,0.02148596672082527,1215
40,407,312576,7680,806.1,5.861528396606445,0.4926215277777778,17.418322331375546,11228.7,0.928742527961731,0.090502314,0.00025,-5.874554640716976,0.2,0.046040262587161526,1218
40,408,313344,7685,808.14,10.883434295654297,0.4895833333333333,15.405045562320286,11241.91,0.8991737365722656,0.05256917,0.00025,-5.438228011131287,0.2,0.006345753312214381,1221
40,409,314112,7690,796.92,4.14566707611084,0.4943576388888889,11.280500994788277,11116.52,0.8470634818077087,0.050146535,0.00025,-5.549652443991767,0.2,0.006754429739279051,1224
40,410,314880,7695,799.39,6.753414154052734,0.4383680555555556,15.96345548497306,11141.31,0.9195470213890076,0.06487929,0.00025,-5.461473378870222,0.2,0.008715370566480689,1227
40,411,315648,7700,798.5,4.126631259918213,0.4440104166666667,7.157727758089702,11554.35,0.9485394358634949,0.06406865,0.00025,-5.149948974450429,0.2,0.008529575567485558,1230
41,412,316416,7706,793.04,3.8020248413085938,0.3793402777777778,10.612485475010342,11509.94,0.923969566822052,0.049491215,0.00025,-5.841833379533556,0.2,0.022196726394920714,1233
41,413,317184,7713,786.4,18.92645263671875,0.4483506944444444,27.268295341067844,10898.48,0.9030279517173767,0.040813178,0.00025,-5.5809831685490074,0.2,0.010352138378139999,1236
41,414,317952,7718,766.61,14.088044166564941,0.4153645833333333,17.67876487970352,10806.59,0.9505280256271362,0.056352694,0.00025,-5.799171527226766,0.2,-0.004853376032163699,1239
41,415,318720,7723,776.39,6.841920852661133,0.4609375,14.087509724828932,10930.05,0.8904914259910583,0.057395656,0.00025,-5.305746813615163,0.2,0.021349681774154305,1242
41,416,319488,7729,793.11,3.03019642829895,0.4952256944444444,8.976943499512142,11056.11,0.8538252115249634,0.05833423,0.00025,-6.132242063681285,0.2,0.02233841982928829,1245
41,417,320256,7734,804.47,7.174229621887207,0.4262152777777778,12.86076123184628,11134.05,0.9192118644714355,0.03660388,0.00025,-5.7446506884362964,0.2,0.01802614570543584,1248
41,418,321024,7739,809.7,4.719277381896973,0.39453125,8.849791294998592,11105.19,0.9550080299377441,0.05180462,0.00025,-6.006253043810527,0.2,0.011291987288536297,1251
41,419,321792,7744,805.73,3.7924482822418213,0.3602430555555556,15.081055210696327,11048.0,0.9396942853927612,0.037315216,0.00025,-5.760593997107612,0.2,0.00409660423368526,1254
41,420,322560,7749,816.48,5.709637641906738,0.3771701388888889,15.497345262103611,10922.71,0.9403870701789856,0.051679894,0.00025,-5.761391818523407,0.2,0.002325615418764452,1257
41,421,323328,7754,823.82,6.345722198486328,0.4895833333333333,12.951259202427334,11115.99,0.9237217903137207,0.14203775,0.00025,-6.057717396153344,0.2,0.03199245853142606,1260
41,422,324096,7758,829.69,3.738133430480957,0.5125868055555556,9.285611695713467,11194.33,0.9291716814041138,0.073019005,0.00025,-5.714498605993059,0.2,0.04225614502663828,1263
41,423,324864,7763,840.45,3.5798110961914062,0.5017361111111112,8.6416724257999,11296.54,0.9186186194419861,0.06818504,0.00025,-5.964632603857252,0.2,0.02264670612445722,1266
41,424,325632,7768,830.61,3.6514036655426025,0.4318576388888889,8.623764200343025,11301.07,0.9449183344841003,0.06434475,0.00025,-5.898000001907349,0.2,0.0252235583611764,1269
41,425,326400,7773,832.79,2.5577011108398438,0.5299479166666666,6.665285441610548,11367.99,0.9655339121818542,0.08154217,0.00025,-5.769781861040327,0.2,0.0371762118043585,1272
42,426,327168,7778,828.17,11.8861722946167,0.4913194444444444,18.53054689698749,10984.83,0.9114130735397339,0.055228848,0.00025,-5.752941701147291,0.2,0.04480620357207954,1275
42,427,327936,7783,809.46,9.60156536102295,0.4227430555555556,17.14593286977874,10783.63,0.91549152135849,0.051084775,0.00025,-5.75419106748369,0.2,0.028550347170999482,1278
42,428,328704,7787,803.83,14.873126029968262,0.40234375,18.453391055266064,10514.21,0.9147612452507019,0.043852597,0.00025,-6.012110922071669,0.2,0.012461964034527127,1281
42,429,329472,7792,802.04,12.274528503417969,0.4045138888888889,30.24364119105869,10480.86,0.9269000291824341,0.0325591,0.00025,-5.726792097091675,0.2,0.012067497332787348,1284
42,430,330240,7797,797.18,8.628573417663574,0.5134548611111112,22.789518157641094,10260.74,0.9000226855278015,0.1019513,0.00025,-5.915665043724908,0.2,0.028881832627424348,1287
42,431,331008,7802,787.01,6.0851731300354,0.5329861111111112,10.212562763028675,10141.37,0.9134305119514465,0.10278827,0.00025,-6.029294927914937,0.2,0.036297006577822484,1290
42,432,331776,7807,782.08,6.985032558441162,0.4561631944444444,10.839003331131405,10192.4,0.9179456233978271,0.061753254,0.00025,-6.342751794391209,0.2,0.02255776274897572,1293
42,433,332544,7812,770.16,7.267602443695068,0.4388020833333333,9.685224582751593,10546.26,0.9463133215904236,0.04861304,0.00025,-6.450645221604241,0.2,0.016479187541537814,1296
42,434,333312,7817,769.41,2.8012499809265137,0.515625,5.774714587463273,10608.14,0.9572139978408813,0.14279126,0.00025,-5.877327806419796,0.2,0.03710141530933066,1299
42,435,334080,7822,782.16,9.888426780700684,0.5082465277777778,15.510921047793495,10843.72,0.8379319906234741,0.034325674,0.00025,-6.29188656144672,0.2,0.02486904468646066,1302
